mark,tag,title,link,author/publisher,license,license_link,fontname,subscribe
cache,Sans Serif,Consolas-with-Yahei,https://github.com/crvdgc/Consolas-with-Yahei,crvdgc,"","",Consolas-with-Yahei,download
cache,Monospace,Departure Mono,https://github.com/rektdeckard/departure-mono,Helena Zhang & Tobias Fried,MIT,https://github.com/rektdeckard/departure-mono/blob/main/LICENSE,Departure Mono,release
cache,Monospace,Iosevka,https://github.com/be5invis/Iosevka,Renzhi Li,OFL-1.1,https://github.com/be5invis/Iosevka/blob/main/LICENSE.md,Iosevka,release
mark,Serif,LXGW WenKai GB / 霞鹜文楷 GB,https://github.com/lxgw/LxgwWenkaiGB,LXGW,OFL-1.1,https://github.com/lxgw/LxgwWenkaiGB/blob/main/OFL.txt,霞鹜文楷 GB,release
cache,Other,Microsoft's TrueType core fonts,https://sourceforge.net/projects/corefonts,sourceforge.net,GPL-v2,https://www.gnu.org/licenses/old-licenses/gpl-2.0.html,"",download
later,Other,RRPL,https://github.com/LingDong-/rrpl/,Lingdong Huang,MIT,https://github.com/LingDong-/rrpl/blob/master/LICENSE,"",download
mark,Sans Serif,Sarasa Gothic (更纱黑体 / 更紗黑體 / 更紗ゴシック / 사라사고딕),https://github.com/be5invis/Sarasa-Gothic,Renzhi Li,OFL-1.1,https://github.com/be5invis/Sarasa-Gothic/blob/main/LICENSE,更纱黑体,release
mark,Monospace,Sarasa Term SC Nerd,https://github.com/laishulu/Sarasa-Term-SC-Nerd,laishulu,OFL-1.1,https://github.com/laishulu/Sarasa-Term-SC-Nerd/blob/main/LICENSE,Sarasa Term SC Nerd,release
mark,Sans Serif,Source Han Sans,https://github.com/adobe-fonts/source-han-sans,Adobe,OFL-1.1,https://github.com/adobe-fonts/source-han-sans/blob/master/LICENSE.txt,Source Han Sans,release
mark,Serif,Source Han Serif,https://github.com/adobe-fonts/source-han-serif,Adobe,OFL-1.1,https://github.com/adobe-fonts/source-han-serif/blob/master/LICENSE.txt,Source Han Serif,release
cache,Script,全字库说文解字,https://www.maoken.com/freefonts/881.html,全字库,OGDL-1.0,https://www.maoken.com/ogdl,全字庫說文解字,download
cache,Pixel,全小素,https://www.maoken.com/freefonts/15806.html,diaowinner,作者声明,https://www.maoken.com/freefonts/15806.html,QuanPixel,download
later,Serif,剔骨仿宋,https://github.com/LingDong-/tk-fangsong-font,Lingdong Huang,OFL-1.1,https://github.com/LingDong-/tk-fangsong-font/blob/main/LICENSE,tkFangSong,download
cache,Other,反向字体,https://www.maoken.com/freefonts/22712.html,torisippo,作者声明,https://www.maoken.com/freefonts/22712.html,mastefontReverse,download
cache,Script,字库江湖古风体,https://www.maoken.com/freefonts/24675.html,字库星球,作者声明,https://www.maoken.com/freefonts/24675.html,字库江湖古风体,download
cache,Sans Serif,寒蝉全圆体,https://www.maoken.com/freefonts/19454.html,寒蝉字型,OFL-1.1,https://www.maoken.com/ofl,ChillRoundF,download
cache,Sans Serif,寒蝉半圆体,https://www.maoken.com/freefonts/22533.html,寒蝉字型,OFL-1.1,https://www.maoken.com/ofl,寒蝉半圆体,download
cache,Sans Serif,寒蝉团圆体,https://www.maoken.com/freefonts/19022.html,萧熠Siue,OFL-1.1,https://www.maoken.com/ofl,寒蝉团圆体,download
cache,Pixel,寒蝉点阵体,https://github.com/Warren2060/ChillBitmap,ChillType,OFL-1.1,https://github.com/Warren2060/ChillBitmap/blob/main/License,寒蝉点阵体,release
