"group","tag","title","link"
"blog","after making","What I've Learnt After Making My First Hobby Game","https://ruoyusun.com/2018/06/15/guide-for-non-game-dev.html"
"blog","bicycle","Not a Bicyclist's Guide to Bicycles","https://www.lambdalatitudinarians.org/techblog/2024/11/14/not-a-bicyclists-guide-to-bicycles/"
"blog","boxes and files","How do archivists package things? The battle of the boxes","https://peelarchivesblog.com/2024/09/10/how-do-archivists-package-things-the-battle-of-the-boxes/"
"blog","burnout","Battling burnout","https://www.jonashietala.se/blog/2023/03/14/battling_burnout/"
"blog","complexity","Complexity is the enemy","https://neugierig.org/software/blog/2011/04/complexity.html"
"blog","defensive","Defensive Communication","https://reagle.org/joseph/2010/conflict/media/gibb-defensive-communication.html"
"blog","eukaryote","Meet the Eukaryote, the First Cell to Get Organized","https://www.quantamagazine.org/meet-the-eukaryote-the-first-cell-to-get-organized-20241028/"
"blog","finish","Finishing a Game","https://makegames.tumblr.com/post/1136623767/finishing-a-game"
"blog","finish","The Art of Finishing","https://www.bytedrum.com/posts/art-of-finishing/"
"blog","footnote","Footnotes and Asides","https://www.publisha.org/papers/footnotes/"
"blog","habit","The Simple Guide to Building and Breaking Habits","https://alexy.tech/posts/the-simple-guide-to-building-and-breaking-habits/"
"blog","hisense a7","The E-Ink Smartphone That I Adore & Despise - Hisense A7 Review","https://chuck.is/a7/"
"blog","immutable","Immutable Linux Distros: Are They Right for You? Take the Test.","https://linuxblog.io/immutable-linux-distros-are-they-right-for-you-take-the-test/"
"blog","ink trap","Ink traps and pals","https://tosche.net/blog/ink-traps-and-pals"
"blog","insurance","When Is Insurance Worth It?","https://entropicthoughts.com/when-is-insurance-worth-it"
"blog","kafka","Franz Kafka – the workers’ friend","https://marywcraig.com/2018/01/14/franz-kafka-the-workers-friend/"
"blog","life lessons","40 Life Lessons I Know at 40 (That I Wish I Knew at 20)","https://markmanson.medium.com/40-life-lessons-i-know-at-40-that-i-wish-i-knew-at-20-6fa878ce49c1"
"blog","llm","How I run LLMs locally","https://abishekmuthian.com/how-i-run-llms-locally"
"blog","lua","Pragmatic Lua Basics in 30 Minutes","https://ruoyusun.com/2013/03/23/pragmatic-lua-basics-in-30-mins.html"
"blog","maintainer","A letter to open-source maintainers","https://xuanwo.io/2024/10-a-letter-to-open-source-maintainers/"
"blog","neumann architecture","The Soul of an Old Machine: Revisiting the Timeless von Neumann Architecture","https://ankush.dev/p/neumann_architecture"
"blog","ninja","The Success and Failure of Ninja","https://neugierig.org/software/blog/2020/05/ninja.html"
"blog","open source","The Life and Death of Open Source Companies","https://lucumr.pocoo.org/2023/12/25/life-and-death-of-open-source/"
"blog","procrastination","Procrastination and the Fear of Not Being 'Good Enough'","https://swapnilchauhan.com/blog/procrastination-and-the-fear-of-not-being-good-enough"
"blog","python dependency","Python dependency management is a dumpster fire","https://nielscautaerts.xyz/python-dependency-management-is-a-dumpster-fire.html"
"blog","school","School is Not Enough","https://map.simonsarris.com/p/school-is-not-enough"
"blog","self-hostable","Building A Self-hostable Product","https://fusionauth.io/blog/building-self-hostable-application"
"blog","software industry","Thoughts on the software industry","https://linus.coffee/note/software-industry"
"blog","technical asset","Technical debt vs technical assets: What's the difference?","https://liblab.com/blog/accruing-technical-assets-vs-paying-off-technical-debt"
"blog","typeset","On Typesetting Engines: A Programmer's Perspective","https://blog.ppresume.com/posts/on-typesetting-engines"
"blog","typography","Humane Typography in the Digital Age","https://matejlatin.github.io/Gutenberg/example2/"
"blog","web-app","Why Web Apps Disappoint Me","https://entropicthoughts.com/why-web-apps-disappoint-me"
"blog","work","Once You're Laid Off, You'll Never Be the Same Again","https://mertbulan.com/2025/01/26/once-you-are-laid-off-you-will-never-be-the-same-again/"
"blog","write","Writing lessons learned after writing a book","https://www.jonashietala.se/blog/2023/11/25/writing_lessons_learned_after_writing_a_book/"
"book","recursion","The Recursive Book of Recursion","https://inventwithpython.com/recursion/"
"book","resin","Hobby CAD, CNC machining, and resin casting","https://lcamtuf.coredump.cx/gcnc/full/"
"book","essays","HyperEssays","https://hyperessays.net/"
"post","copylefted copyrights","It Matters Who Owns Your Copylefted Copyrights","https://sfconservancy.org/blog/2021/jun/30/who-should-own-foss-copyrights/"
"post","fashion","The Fashion Police in 16th-century Italy","https://www.medievalists.net/2014/10/fashion-police-16th-century-italy/"
"post","fruit","Meet the Italian ‘Fruit Detective’ Who Investigates Centuries-Old Paintings for Clues About Produce That Has Disappeared From the Kitchen Table","https://www.smithsonianmag.com/arts-culture/meet-italian-fruit-detective-who-investigates-centuries-old-paintings-clues-produce-180985227/"
"post","llm","Navigating the World of Open-Source Large Language Models","https://www.bentoml.com/blog/navigating-the-world-of-large-language-models"
"post","ship","The Secret Language of Ships","https://hakaimagazine.com/videos-visuals/the-secret-language-of-ships/"
"post","microwave oven","A History of Microwave Ovens","https://taylor.town/history-of-microwave-ovens"
"post","science of creativity","Wired for Innovation: Exploring The Science of Creativity","https://www.growthengineering.co.uk/wired-for-innovation-exploring-the-science-of-creativity/"
"post","social","The Evaporative Cooling Effect in Social Network","https://blogs.cornell.edu/info2040/2015/10/14/the-evaporative-cooling-effect-in-social-network/"
"post","tendon","Why birds do not fall while sleeping","https://news.cnrs.fr/articles/why-birds-do-not-fall-while-sleeping"
"post","mechanical-keyboard","The Ars Technica guide to mechanical keyboards","https://arstechnica.com/gadgets/2022/03/the-ars-technica-guide-to-mechanical-keyboards/"
