"group","title","link"
"config","Neovim - init.lua","https://github.com/potamides/dotfiles/blob/master/.config/nvim/init.lua"
"document","AutoHotkey","https://www.autohotkey.com/docs/v2/"
"document","Bastard Keyboards","https://docs.bastardkb.com/"
"document","Beancount Documentation","https://beancount.github.io/docs/index.html"
"document","ClamAV","https://docs.clamav.net/"
"document","Clink","https://chrisant996.github.io/clink/clink.html"
"document","Crowdin Docs","https://support.crowdin.com"
"document","DBeaver","https://dbeaver.com/docs/dbeaver/"
"document","Dolt","https://docs.dolthub.com/"
"document","Espanso","https://espanso.org/docs/get-started/"
"document","FFmpeg","https://ffmpeg.org/ffmpeg.html"
"document","Krita","https://docs.krita.org/en/index.html"
"document","Lintalist","https://lintalist.github.io/"
"document","Material for MkDocs","https://squidfunk.github.io/mkdocs-material/"
"document","Medusa","https://docs.medusajs.com/"
"document","Newsboat","https://newsboat.org/releases/2.10/docs/newsboat.html"
"document","PocketBase","https://pocketbase.io/docs/"
"document","RST, Sphinx, Sublime, GitHub","https://sublime-and-sphinx-guide.readthedocs.io/en/latest/index.html"
"document","Rclone","https://rclone.org/docs/"
"document","RetroPie","https://retropie.org.uk/docs/"
"document","Weblate","https://docs.weblate.org/en/latest"
"document","everything curl","https://everything.curl.dev/"
"document","jmdict-simplified","https://github.com/scriptin/jmdict-simplified"
"document","rsync","https://download.samba.org/pub/rsync/rsync.1#OPTIONS"
"document","树莓派文档","https://pidoc.cn/"
"guide","ES-DE Frontend","https://gitlab.com/es-de/emulationstation-de/-/blob/master/USERGUIDE.md"
"guide","Neovim - Guide to using Lua in Nvim","https://neovim.io/doc/user/lua-guide.html"
"guide","Sigil","https://sigil-ebook.com/sigil-user-guide/index2.html?epub=epub_content%2Fguide"
"keymap","Fluent Reader","https://github.com/yang991178/fluent-reader/wiki/Support#keyboard-shortcuts"
"keymap","mpv - input.conf","https://github.com/mpv-player/mpv/blob/master/etc/input.conf"
"keymap","Keyboard key","https://dystroy.org/broot/conf_verbs/#keyboard-key"
"keymap","LunarVim","https://www.lunarvim.org/docs/beginners-guide/keybinds-overview"
"keymap","Termux","https://wiki.termux.com/wiki/Touch_Keyboard"
"manual","Anki","https://docs.ankiweb.net/"
"manual","Broot","https://dystroy.org/broot/"
"manual","FreeCAD","https://wiki.freecad.org/Manual:Introduction"
"manual","Jitendex","https://jitendex.org/pages/guides.html"
"manual","KiCad","https://docs.kicad.org/7.0/en/getting_started_in_kicad/getting_started_in_kicad.html"
"manual","NSSM","https://nssm.cc/usage"
"manual","OmegaT","https://omegat.sourceforge.io/manual-standard/en/index.html"
"manual","Sublime Text","https://packagecontrol.io/docs/submitting_a_package"
"manual","Syncthing","https://docs.syncthing.net/users/syncthing.html"
"manual","The Art of Command Line","https://github.com/jlevy/the-art-of-command-line"
"manual","cmus - Linux man page","https://linux.die.net/man/1/cmus"
"manual","mpv","https://mpv.io/manual/master/"
"manual","vncviewer","https://tigervnc.org/doc/vncviewer.html"
"option","Everything","https://www.voidtools.com/support/everything/searching/"
"option","Gist","https://gist.github.com/santisbon/2e1e9c69b58bdf4c9624219a44d40d83"
"option","HandBrake","https://handbrake.fr/docs/en/latest/cli/command-line-reference.html"
"option","ImageMagick","https://imagemagick.org/script/command-line-processing.php"
"option","PM2","https://pm2.io/docs/runtime/reference/pm2-cli/"
"option","Snipaste","https://docs.snipaste.com/zh-cn/command-line-options"
"option","Stable Diffusion web UI","https://github.com/AUTOMATIC1111/stable-diffusion-webui/wiki/Command-Line-Arguments-and-Settings"
"wiki","KOReader","https://github.com/koreader/koreader/wiki"
"wiki","Recalbox","https://wiki.recalbox.com/en/home"
"wiki","RegEX","https://github.com/google/re2/wiki/Syntax"
"wiki","Yomitan","https://yomitan.wiki/"
"wiki","cmus","https://wiki.gentoo.org/wiki/Cmus"
"wiki","TiddlyWiki","https://tiddlywiki.com/"
