tag,mark,title,url,subscribe
player,cache,APlayer,https://github.com/rRemix/APlayer,""
tool,cache,Aegis,https://github.com/beemdevelopment/Aegis,""
explorer,mark,Amaze,https://github.com/TeamAmaze/AmazeFileManager,""
rss-torrent,cache,AniVu,https://github.com/SkyD666/AniVu,""
podcast,cache,AntennaPod,https://github.com/AntennaPod/AntennaPod,""
"",cache,App Manager,https://github.com/MuntashirAkon/AppManager,""
camera,cache,AsciiCam,https://github.com/dozingcat/AsciiCam,""
serve,cache,AudioRelay,https://audiorelay.net/downloads,download
"tool,scan",cache,BinaryEye,https://github.com/markusfisch/BinaryEye,""
browser,cache,Brave,https://github.com/brave/brave-browser,""
wallpaper,cache,Code Rain Wallpaper,https://gitlab.com/_zagura/code-rain-wallpaper,""
wallpaper,extra,Doodle,https://github.com/patzly/doodle-android,""
"",cache,Droid Pad,https://github.com/umer0586/DroidPad,release
explorer,cache,File Manager Plus,https://alphainventor.com/file-manager-plus,""
"tool,light",cache,FlashDim,https://github.com/cyb3rko/flashdim,""
rss,cache,Flux News,https://github.com/KevinCFechtel/FluxNews,""
game,cache,Forkyz Scanner,https://gitlab.com/Hague/forkyzscanner,""
tool,cache,GuessIron,https://github.com/mobeil1/GuessIron,""
"",cache,HTTP Shortcuts for Android,https://github.com/Waboodoo/HTTP-Shortcuts,release
habit,cache,Habit Builder,https://github.com/ofalvai/HabitBuilder,""
hacker-news,cache,Hacki,https://github.com/Livinglist/Hacki,""
camera,cache,Hypocam,https://www.hypocam.com/index.php/app/,""
youtube-music,cache,InnerTune,https://github.com/z-huang/InnerTune,""
ebook,cache,KOReader,https://koreader.rocks,""
"",extra,Kanade,https://github.com/alexrintt/kanade,""
reader,cache,LibreraReader,https://github.com/foobnix/LibreraReader,""
reader,cache,Lithium,https://github.com/pgaskin/lithiumpatch,""
log,cache,LogFox,https://github.com/F0x1d/LogFox,""
explorer,cache,Material Files,https://github.com/zhanghai/MaterialFiles,""
windows,cache,MiceWine Emulator,https://github.com/KreitinnSoftware/MiceWine-Application,""
"",mark,Neo Store,https://github.com/NeoApplications/Neo-Store,""
scan,cache,OSS Document Scanner,https://github.com/Akylas/OSS-DocumentScanner,""
"",cache,Obtainium,https://github.com/ImranR98/Obtainium,""
map,cache,OpenTracks,https://opentracksapp.com/,""
map,cache,Organic Maps,https://organicmaps.app/,""
photo,cache,Photok,https://github.com/leonlatsch/Photok,""
"",cache,Qalculate!,https://f-droid.org/packages/com.jherkenhoff.qalculate,""
"",extra,Readium Kotlin Toolkit,https://github.com/readium/kotlin-toolkit,""
game,cache,RetroArch,https://github.com/libretro/RetroArch,""
webdav,cache,Round Sync,https://github.com/newhinton/Round-Sync,""
translate,cache,Rtranslator,https://github.com/niedev/RTranslator,""
tool,cache,Save Locally,https://github.com/MateusRodCosta/Share2Storage,""
"",cache,ScanBridge,https://github.com/Chrisimx/ScanBridge,release
tool,cache,ScreenshotTile,https://github.com/cvzi/ScreenshotTile,""
dictionary,cache,SilverDict,https://github.com/Crissium/SilverDict-mobile,""
"tool,light",cache,Simple-Flashlight,https://github.com/SimpleMobileTools/Simple-Flashlight,""
viewer,cache,Simple-Gallery,https://github.com/SimpleMobileTools/Simple-Gallery,""
"tool,timer",cache,Sleep Timer,https://github.com/SimonMarquis/SleepTimer,""
editor,cache,Squircle CE,https://github.com/massivemadness/Squircle-CE,""
"",cache,Stride,https://github.com/stride-tasks/stride,""
sync,cache,Syncthing-Fork,https://github.com/Catfriend1/syncthing-android,""
"",cache,Telegram-FOSS,https://github.com/Telegram-FOSS-Team/Telegram-FOSS,""
termux,cache,Termux,https://github.com/termux/termux-app,""
"termux,style",cache,Termux Style,https://github.com/adi1090x/termux-style,""
termux,cache,Termux:API,https://github.com/termux/termux-api,""
termux,cache,Termux:Styling,https://github.com/termux/termux-styling,""
torrent,cache,Torrents-csv,https://git.torrents-csv.com/heretic/torrents-csv-android,""
map,cache,Trail-Sense,https://github.com/kylecorry31/Trail-Sense,""
ubuntu,cache,Ubuntu on android,https://github.com/RandomCoderOrg/ubuntu-on-android,""
cleaner,cache,Universal Android Debloater GUI,https://github.com/0x192/universal-android-debloater,""
camera,cache,Vector Camera,https://github.com/dozingcat/VectorCamera,""
lan,cache,Zerotier Fix,https://github.com/kaaass/ZerotierFix,""
dictionary,cache,aard2-android,https://github.com/itkach/aard2-android,""
bible,cache,and-bible,https://github.com/AndBible/and-bible,""
track,cache,aw-android,https://github.com/ActivityWatch/aw-android,""
vnc,cache,bVNC Free,https://github.com/iiordanov/remote-desktop-clients,""
browser,cache,firefox-android,https://github.com/mozilla-mobile/firefox-android,""
bookmark,cache,floccus bookmark sync,https://github.com/floccusaddon/floccus,""
tool,cache,localsend,https://github.com/localsend/localsend,""
"",cache,love-11.3-android,https://github.com/love2d/love/releases,""
player,mark,mpvKt,https://github.com/abdallahmehiz/mpvKt,""
display,cache,spacedesk,https://www.spacedesk.net,""
lan,mark,tailscale,https://github.com/tailscale/tailscale,download
note,cache,蜜蜂便签,https://mp.weixin.qq.com/s/6v_1CnkOGsUgGaRIiXKFIg,""
