tag,mark,title,url,subscribe
web,later,2anki/server,https://github.com/2anki/server),""
keyboard,cache,AJT Flexible Grading,https://github.com/Ajatt-Tools/FlexibleGrading),""
image,later,AJT Media Converter,https://github.com/Ajatt-Tools/PasteImagesAsWebP),""
sound,cache,Anki Addon for Chinese Pronunciation,https://github.com/spkgyk/anki-pinyin),""
cloze,cache,Anki Card Text Randomizer,https://github.com/Yustynn/anki-card-text-randomizer),""
post,later,Anki Cards,https://github.com/MNandor/anki-cards),""
style,cache,Anki Code Highlighter,https://github.com/gregorias/anki-code-highlighter),""
analyze,cache,Anki History Visualization,https://github.com/xiety/AnkiHistoryVisualization),""
"image,zoom",later,Anki Image Scaler,https://github.com/gregorias/anki-image-scaler),""
math,cache,Anki Math OCR,https://github.com/telotortium/anki-math-ocr),""
web,later,Anki Note Linker,https://github.com/gugutu/Anki-Note-Linker),""
textograph,later,Anki Note Type for Textograph,https://github.com/textograph/anki-note-type),""
format,cache,Anki Panky,https://github.com/kamalsacranie/anki-panky),""
tui,cache,Anki TUI (morphman),https://github.com/xyaman/anki-tui),""
template,cache,Anki Templates,https://github.com/nico-lechatnoir/Anki-Templates),""
template,cache,Anki Templates 02,https://github.com/ikkz/anki-template),""
text,later,Anki Word Hyphenator,https://github.com/gregorias/anki-word-hyphenator),""
template,later,Anki Word Wizard Template,https://github.com/ankiwords/anki-word-wizard-template),""
koreader,later,Anki plugin for KOReader,https://github.com/Ajatt-Tools/anki.koplugin),""
code,later,Anki themes,https://github.com/badlydrawnrob/anki),""
template,later,Anki-Card-Templates,https://github.com/SweetMeh/Anki-Card-Templates),""
choice,cache,Anki-Multiple-Choice,https://github.com/ale18V/Anki-Multiple-Choice),""
sound,later,Anki-Simple-Forvo-Audio,https://github.com/Rascalov/Anki-Simple-Forvo-Audio),""
format,cache,Anki.md,https://github.com/timgreen/Anki.md),""
order,later,AnkiMorphs,https://github.com/mortii/anki-morphs),""
"analyze,pandas",cache,AnkiPandas,https://github.com/klieret/AnkiPandas),""
convert,later,AnkiPoetry,https://github.com/xiety/AnkiPoetry),""
game,later,Ankimon,https://github.com/Unlucky-Life/ankimon),""
order,later,AnnA : Anki neuronal Appendix,https://github.com/thiswillbeyourgithub/AnnA_Anki_neuronal_Appendix/),""
answer,later,Answer Set,https://github.com/scott2000/answerset),""
format,cache,Autoanki,https://github.com/chenlijun99/autoanki),""
read,cache,Bionic Reading,https://github.com/AnKing-VIP/anki-bionic-reading),""
frequency,cache,Bulk Generate Japanese Vocab Frequency,https://github.com/christopher-chandler/bulk_generate_japanese_vocab_frequency),""
post,cache,CSV-to-ANKI,https://github.com/AnkiMonkey/CSV-to-ANKI),""
convert,cache,Converter for LaTeX to Anki,https://github.com/Iqwertz/Tum_Kontrollfragen_Physik_Anki),""
import,later,Cross Profile Search and Import,https://github.com/Ajatt-Tools/cropro),""
tui,cache,Demonstration,https://github.com/fedorst/attic-anki),""
generate,cache,Dexter Note Ankify,https://github.com/duydl/dexter-tripos-notes-anki),""
mark,cache,Exam Notifier for Anki,https://github.com/AnKing-VIP/exam-notifierd),""
order,cache,FSRS4Anki,https://github.com/open-spaced-repetition/fsrs4anki),""
order,cache,FSRS4Anki Helper,https://github.com/open-spaced-repetition/fsrs4anki-helper),""
obsidian,cache,Flashcards,https://github.com/reuseman/flashcards-obsidian),""
field,cache,FrequencyMan,https://github.com/Rct567/FrequencyMan),""
sound,cache,Generate Batch Audio,https://github.com/DillonWall/generate-batch-audio-anki-addon),""
poup,cache,JL,https://github.com/rampaa/JL),""
leetcode,cache,Leetcode Study Tool,https://github.com/johnsutor/leetcode-study-tool),""
order,cache,Limit New by Young,https://github.com/lune-stone/anki-addon-limit-new-by-young),""
manga,cache,MangAnki,https://github.com/doraeneko/MangAnki),""
size,later,Note Size Anki addon,https://github.com/Aleks-Ya/note-size-anki-addon),""
mark,cache,Pass/Fail 2,https://github.com/lambdadog/passfail2),""
"ui,theme",later,Prettify,https://github.com/pranavdeshai/anki-prettify),""
style,later,Rainbow Cloze,https://github.com/gyuudon3187/rainbow-cloze),""
track,cache,Review Heatmap for Anki,https://github.com/glutanimate/review-heatmap),""
analyze,cache,Search Stats Extended,https://github.com/Luc-Mcgrady/Anki-Search-Stats-Extended),""
nlp,cache,Textile,https://github.com/SalahEddineGhamri/textile),""
create,cache,Tool for creating complex Anki notes quickly,https://github.com/FilipTarajko/anki-card-generator),""
web,cache,VocabSieve,https://github.com/FreeLanguageTools/vocabsieve),""
