tag,mark,title,url,subscribe
ime,cache,AHK,https://github.com/ouweiya/AHK),""
quick,cache,AHK Command Picker,https://github.com/deadlydog/AHKCommandPicker),""
development,cache,AHK Studio,https://maestrith.com/ahk-studio),""
manage,cache,AHK v2.0 auto update template,https://github.com/Nigh/ahk-autoupdate-template),""
input,mark,AHK-KeyMap,https://github.com/Gustice/AHK-KeyMap),""
input,cache,AHKExpansionsList,https://github.com/GavinPen/AHKExpansionsList),""
launch,cache,ALTRun,https://github.com/zhugecaomao/ALTRun),""
window,cache,"AltDrag, AltResize, AltMove",https://github.com/andreapizzigoni/altdrag_ahk),""
development,cache,AmHotkey,https://github.com/chjfth/AmHotkey),""
audio,cache,AutoAccent,https://github.com/hamurlik/AutoAccent),""
input,cache,AutoHotKey_Time-stamp,https://github.com/elnao/AutoHotKey_Time-stamp),""
complete,later,Autocomplete,https://github.com/Uberi/Autocomplete),""
filterpipe,cache,Autocorrector,https://github.com/joshuar/autocorrector),""
paste,cache,Autohokey copy and paste for data entry,https://github.com/Tran1595/autohokey-copypaste-for-data-entry),""
launch,cache,Barrel,https://github.com/phantomdiorama/barrel),""
window,cache,Better-Big-Screen-Window-Manager,https://github.com/indigofairyx/Better-Big-Screen-Window-Manager),""
workflow,cache,CJK Material Processing,https://github.com/ahlisbon/CJKmaterialProcessing),""
paste,cache,CL3,https://github.com/hi5/CL3),""
development,cache,ColorButton.ahk,https://github.com/nperovic/ColorButton.ahk),""
control,cache,Control sound autohotkey,https://github.com/ArturTkaczuk/control-sound-autohotkey),""
notify,cache,CuToaster,https://github.com/cy-gh/CuToaster),""
window,cache,Desktop Shifter,https://github.com/capitanbarbosa/Active-Desktop_Shifter),""
game,cache,Dota 2 Queue-And-Go,https://github.com/etofok/Dota-2-Queue-and-Go),""
development,cache,Easy AutoGUI,https://github.com/samfisherirl/Easy-Auto-GUI-for-AHK-v2),""
environment,cache,Environment.ahk,https://github.com/iseahound/Environment.ahk),""
filterpipe,cache,GachiTyper,https://github.com/cringenuity/GachiTyper),""
development,cache,Github.ahk,https://github.com/samfisherirl/Github.ahk-API-for-AHKv2),""
ocr,cache,GoldenDictAide,https://github.com/debugfan/GoldenDictAide),""
ocr,mark,GoldenDictOCR,https://github.com/VimWei/GoldenDictOCR),""
filterpipe,cache,HeckR_Replace,https://github.com/Heck-R/HeckR_Replace),""
input,cache,ICM Shortcuts for AutoHotkey,https://github.com/ayeseeem/ICM-shortcuts),""
input,cache,InputTip,https://github.com/abgox/InputTip),""
ime,mark,KBLAutoSwitch,https://github.com/flyinclouds/KBLAutoSwitch),release
keyboard,cache,KBLayerHelper,https://github.com/RaphCoder13/KBLayerHelper),""
workflow,cache,Kevin's AutoHotKey Application,https://github.com/KevinHJoe/Auto-App),""
launch,cache,KeyChain,https://github.com/JaredCH/KeyChain),""
lintalist,mark,Lintalist,https://github.com/lintalist/lintalist),release
scripts,mark,Mouse Gesture Script,https://github.com/ayuanx/AutoHotKey_MouseGesture),""
audio,cache,Mute on focus lost,https://github.com/TomiBelan/mute-on-focus-lost),""
record,cache,OBS WebSocket for AutoHotKey v2.0+,https://github.com/5ony/OBSWebSocketAHK),""
window,cache,Polygon,https://github.com/thesobercoder/polygon),""
"explorer,switch",mark,QuickSwitch,https://github.com/fenchai23/QuickSwitch),release
input,cache,Real-time-translation-typing,https://github.com/sxzxs/Real-time-translation-typing),""
window,cache,Right-Button-Ninja,https://github.com/hansenwangvip/right-button-ninja),""
development,cache,Rufaydium,https://github.com/Xeo786/Rufaydium-Webdriver),""
paste,mark,ShortScript,https://github.com/RichKMLS/ShortScript),""
window,cache,SnapX,https://github.com/benallred/SnapX),""
development,cache,SystemThemeAwareToolTip,https://github.com/nperovic/SystemThemeAwareToolTip),""
window,cache,TSolidBackground,https://github.com/Onurtag/TSolidBackground),""
"lintalist,theme",cache,Themes for Lintalist,https://github.com/lintalist/lintalist-themes),""
control,mark,Toggle screen autohotkey,https://github.com/ArturTkaczuk/toggle-screen-autohotkey),""
