tag,mark,title,url,subscribe
settings,mark,Adjust Screen Brightness,https://webextension.org/listing/screen-brightness.html),""
search,mark,All Acronyms,https://allacronyms.com/),""
develop,cache,Allow CORS,https://mybrowseraddon.com/access-control-allow-origin.html),""
mouse,cache,Allow Right Click,https://webextension.org/listing/allow-right-click.html),""
ai,extra,AnythingLLM Browser Companion,https://docs.anythingllm.com/browser-extension/install,""
download,cache,Aria2 Explorer,https://aria2e.com),""
website,mark,Augmented Steam,https://augmentedsteam.com),""
automa,cache,AutoMouser,https://github.com/guoriyue/AutoMouser),""
automate,mark,Automa,https://automa.site),""
website,cache,Awoobooru,https://github.com/TypeA2/Awoobooru),""
github,mark,Better Pull Request for GitHub,https://github.com/berzniz/github_pr_tree),""
view,mark,BetterViewer,https://github.com/Ademking/BetterViewer),""
website,mark,Block Site,https://webextension.org/listing/block-site.html),""
develop,cache,Block image,https://chrome.google.com/webstore/detail/block-image/pehaalcefcjfccdpbckoablngfkfgfgj),""
website,mark,Bookmark Favicon Changer,https://chrome.google.com/webstore/detail/bookmark-favicon-changer/acmfnomgphggonodopogfbmkneepfgnh),""
develop,cache,Broken Link Checker,https://webextension.org/listing/broken-link-checker.html),""
develop,later,CSS Used,https://github.com/painty/CSS-Used-ChromeExt),""
search,mark,Chikamichi,https://github.com/kawamataryo/chikamichi),""
develop,cache,Chrome extension source viewer,https://github.com/Rob--W/crxviewer),""
website,cache,Content Farm Terminator,https://github.com/danny0838/content-farm-terminator),""
cache,mark,Cookie AutoDelete,https://github.com/Cookie-AutoDelete/Cookie-AutoDelete),""
cache,mark,Cookie-Editor,https://cookie-editor.cgagnier.ca),""
link,cache,Copy Text Fragment URL,https://github.com/andrewrabon/copy-text-fragment-url),""
extension,mark,Custom Chrome,https://github.com/ciaranmag/customchrome),""
website,later,DanTagCopy,https://github.com/MichinariNukazawa/DanTagCopy_diffusion_tags_clipboard_webextension),""
read,mark,Dark Reader,https://darkreader.org),""
document,mark,DevDocs Web Ext,https://github.com/arianrhodsandlot/devdocs-web-ext),""
download,cache,Dezoomify,https://lovasoa.github.io/dezoomify-extension/),""
dictionary,cache,Dictionariez,https://github.com/pnlpal/dictionariez),""
window,cache,Double Read,https://chrome.google.com/webstore/detail/double-read/kcacjknamjmflfkgibhnidhhddiaidao),""
download,cache,Download all Images,https://webextension.org/listing/save-images.html),""
settings,mark,Earth View from Google Earth,https://earthview.withgoogle.com),""
edit,mark,Emoji Keyboard,https://chrome.google.com/webstore/detail/emoji-keyboard-online-cop/kgmeffmlnkfnjpgmdndccklfigfhajen),""
github,mark,Enhanced GitHub,https://github.com/softvar/enhanced-github),""
download,cache,EpubPress,https://epub.press),""
view,cache,Epublifier,https://github.com/maoserr/epublifier),""
