mark,tag,type,title,filename,url,license,base model,trigger words
cache,base model,checkpoint trained,A-Zovya RPG Artist Tools,aZovyaRPGArtistTools_v4VAE.safetensors,https://civitai.com/models/8124/a-zovya-rpg-artist-tools,https://huggingface.co/spaces/CompVis/stable-diffusion-license,SD 1.5,""
cache,style,lora,Arnold Lobel for Pony,LobelForPony.safetensors,https://civitai.com/models/568737/arnold-lobel-for-pony,"",Pony,Illustration by Lobel
cache,base model,checkpoint trained,Centerflex,centerflex_v28.safetensors,https://civitai.com/models/102231/centerflex,https://huggingface.co/spaces/CompVis/stable-diffusion-license,SD 1.5,""
later,background,Workflows,Change product background with the image of your choice using Style Transfer.,Product placement.json,https://civitai.com/models/413803/change-product-background-with-the-image-of-your-choice-using-style-transfer,"",SDXL Lightning,""
cache,style,vae,ClearVAE(SD1.5),clearvaeSD15_v23.safetensors,https://civitai.com/models/22354/clearvaesd15,"",SD 1.5,""
later,tool,Workflows,ComfyUI — Tell the Difference,tell_the_difference_v3.json,https://civitai.com/models/533218/comfyui-tell-the-difference,https://civitai.com/models/533218/comfyui-tell-the-difference,SDXL 1.0,""
cache,style,lora,CommerceStyleXL,productscene.safetensors,https://civitai.com/models/133164/commercestylexl,"",SDXL 1.0,productscene
cache,style,checkpoint merge,Curiosity Mix,curiosityMix_v01.safetensors,https://civitai.com/models/76848/curiosity-mix,https://huggingface.co/spaces/CompVis/stable-diffusion-license,SD 1.5,""
cache,style,checkpoint trained,D&D battlemaps,dDBattlemaps_1024V20.ckpt,https://civitai.com/models/23240/dandd-battlemaps,"","",""
cache,concept,lora,Detail Tweaker LoRA (细节调整LoRA),add_detail.safetensors,https://civitai.com/models/58390/detail-tweaker-lora-lora,"",SD 1.5,""
cache,base model,checkpoint merge,DunkMash,dunkmash_v11.safetensors,https://civitai.com/models/84558/dunkmash,https://huggingface.co/spaces/CompVis/stable-diffusion-license,SD 1.5,""
cache,style,lora,E-commerce High Quality Flux1.d Lora,E-commerce_high_quality_Flux lora_v1.0.safetensors,https://civitai.com/models/733080/e-commerce-high-quality-flux1d-lora,https://github.com/black-forest-labs/flux/blob/main/model_licenses/LICENSE-FLUX1-dev,Flux.1 D,""
cache,style,checkpoint merge,E-commerce_Photography,eCommercePhotography_v10.safetensors,https://civitai.com/models/1114172/e-commercephotography,https://github.com/Stability-AI/generative-models/blob/main/model_licenses/LICENSE-SDXL1.0,SDXL 1.0,""
cache,concept,checkpoint merge,Earth Satellite Image Map Generator Mix,earthSatelliteImageMap_earthSatelliteImageMap.safetensors,https://civitai.com/models/18022/earth-satellite-image-map-generator-mix,https://huggingface.co/spaces/CompVis/stable-diffusion-license,SD 1.5,"satellite image of oeax location, mapsatimageeu, gamelandscapeheightmap512"
cache,tool,embedding,EasyNegative,easynegative.safetensors,https://civitai.com/models/7808/easynegative,"",SD 1.5,easynegative
cache,style,lora,Eldritch Impressionism oil painting,EldritchImpressionismXL1.5.safetensors,https://civitai.com/models/312341/eldritch-impressionism-oil-painting,"",SDXL 1.0,impressionist painting
cache,background,lora,FLUX Commerce ｜ Revolutionizing E-Commerce with Stunning Backgrounds,flux-lora-000004.safetensors,https://civitai.com/models/709192/flux-commerce-revolutionizing-e-commerce-with-stunning-backgrounds,https://github.com/black-forest-labs/flux/blob/main/model_licenses/LICENSE-FLUX1-dev,Flux.1 D,background
cache,base model,base model,FLUX.1 [dev],flux1-dev.safetensors,https://huggingface.co/black-forest-labs/FLUX.1-dev,https://huggingface.co/black-forest-labs/FLUX.1-dev/blob/main/LICENSE.md,Flux.1 D,
cache,base model,checkpoint merge,Flat-2D Animerge,flat2DAnimerge_v45Sharp.safetensors,https://civitai.com/models/35960/flat-2d-animerge,https://huggingface.co/spaces/CompVis/stable-diffusion-license,SD 1.5,""
cache,base model,checkpoint merge,Fortyfour_oilpainting_V1,fortyfourOilpainting_v10.safetensors,https://civitai.com/models/93262/fortyfouroilpaintingv1,https://huggingface.co/spaces/CompVis/stable-diffusion-license,SD 1.5,""
cache,style,lora,Fromenteau Style,Fromenteau.safetensors,https://civitai.com/models/96472/fromenteau-style,"",SD 1.5,""
cache,style,checkpoint trained,Giovanni Battista Piranesi 1700s,giovanniBattista_piranesiV10.safetensors,https://civitai.com/models/16418/giovanni-battista-piranesi-1700s,"",SD 1.5,"ilsgiovannibattistapiranesi, etching"
cache,concept,lora,Good Hands LoRA,goodhands_Beta_Gtonero.safetensors,https://civitai.com/models/324264/good-hands-lora,"",SD 1.5,""
cache,style,lora,Landscape Ink,Landscape_Ink-000003.safetensors,https://civitai.com/models/184447/landscape-ink,"",SD 1.5,""
cache,style,lora,Luigi Serafini Style | SDXL | LoRA,Serafini_Style_XL_V1.safetensors,https://civitai.com/models/129910/luigi-serafini-style-or-sdxl-or-lora,"",SDXL 1.0,Serafini Style
cache,style,checkpoint merge,LusterMix,lustermix_v20Semirealism.safetensors,https://civitai.com/models/85201/lustermix,https://huggingface.co/spaces/CompVis/stable-diffusion-license,SD 1.5,""
cache,tool,checkpoint merge,M41D,m41d_v10.safetensors,https://civitai.com/models/97635/m41d,https://huggingface.co/spaces/CompVis/stable-diffusion-license,SD 1.5,""
cache,style,lora,Medieval Illustration Style - SDXL 1.0,vintage_illust.safetensors,https://civitai.com/models/121290/medieval-illustration-style-sdxl-10,"",SDXL 1.0,vintageillustration
cache,base model,checkpoint trained,MooMooE-commerce,moomooeCommerce_v4.safetensors,https://civitai.com/models/207750/moomooe-commerce,https://huggingface.co/spaces/CompVis/stable-diffusion-license,SD 1.5,ArtComposition
cache,style,checkpoint trained,NEW ERA (New Esthetic Retro Anime),newERANewEstheticRetro_newErav30.safetensors,https://civitai.com/models/137781/new-era-new-esthetic-retro-anime,https://github.com/Stability-AI/generative-models/blob/main/model_licenses/LICENSE-SDXL1.0,Pony,"1990s (style), 1980s (style), 2000s (style), retro artstyle"
cache,concept,lora,Negative space - Illustrious XL,negative-space.safetensors,https://civitai.com/models/1234652/negative-space-illustrious-xl,"",Illustrious,negative space
cache,base model,base model,SD-XL 1.0-base,"sd_xl_base_1.0.safetensors,sd_xl_base_1.0_0.9vae.safetensors,sd_xl_offset_example-lora_1.0.safetensors",https://huggingface.co/stabilityai/stable-diffusion-xl-base-1.0,https://huggingface.co/stabilityai/stable-diffusion-xl-base-1.0/blob/main/LICENSE.md,SDXL 1.0,
cache,style,lora,SDXL Inkdrawing,SDXL_Inkdrawing_v1.safetensors,https://civitai.com/models/154918/sdxl-inkdrawing,"",SDXL 1.0,Inkdrawing
cache,planet,checkpoint trained,Satellite Image Generator - MapSatimageEU - Cloudless CP,satelliteImageGenerator_mapsatimageeuV10.safetensors,https://civitai.com/models/17866/satellite-image-generator-mapsatimageeu-cloudless-cp,https://huggingface.co/spaces/CompVis/stable-diffusion-license,SD 1.5,mapsatimageeu
cache,style,lora,Sivokon Style SDXL,sivokon_style_sdxl.safetensors,https://civitai.com/models/195844/sivokon-style-sdxl,"",SDXL 1.0,"soviet cartoon, style of sivokon"
cache,style,lora,Socrealistic Mosaic Style,hjsocrealmosaic_v10.safetensors,https://civitai.com/models/183619/socrealistic-mosaic-style,"",SD 1.5,"socrealmosaic, mosaic, ceramic tile"
cache,base model,base model,Stable Diffusion v1-5,"v1-5-pruned.safetensors,v1-5-pruned-emaonly.safetensors",https://huggingface.co/stable-diffusion-v1-5/stable-diffusion-v1-5,https://huggingface.co/spaces/CompVis/stable-diffusion-license,SD 1.5,
later,"",Other,Ultra Sharp High Contrast Tutorial +vae&upscaler,"",https://civitai.com/models/34192/ultra-sharp-high-contrast-tutorial-vaeandupscaler,https://civitai.com/models/34192/ultra-sharp-high-contrast-tutorial-vaeandupscaler,SD 1.5,""
cache,character,checkpoint merge,Utopia,utopia_v10.safetensors,https://civitai.com/models/57810/utopia,https://huggingface.co/spaces/CompVis/stable-diffusion-license,SD 1.5,""
cache,style,lora,Vintage Marker,Vintage_Marker.safetensors,https://civitai.com/models/276054/vintage-marker,"",SDXL 1.0,Marker Illustration
cache,style,lora,Voxel XL,VoxelXL_v1.safetensors,https://civitai.com/models/118536/voxel-xl,"",SDXL 1.0,voxel style
cache,realistic,lora,WFProduct E-commerce Scenario,\,https://www.shakker.ai/modelinfo/3532e2ee7d7843c99f6067f819ebec94,https://www.shakker.ai/modelinfo/3532e2ee7d7843c99f6067f819ebec94,SD 1.5,wfproduct
later,clothing,Workflows,Winstons Workflow Collection,"",https://civitai.com/models/138397/winstons-workflow-collection,https://civitai.com/models/138397/winstons-workflow-collection,Other,""
later,clothing,Workflows,Workflow ComfyUi - Modify clothes at full resolution,clothMod-FullRes.json,https://civitai.com/models/304986/workflow-comfyui-modify-clothes-at-full-resolution,"",Other,""
cache,background,checkpoint trained,natural earth,naturalEarth_01.ckpt,https://civitai.com/models/15697/natural-earth,https://huggingface.co/spaces/CompVis/stable-diffusion-license,SD 1.5,satellite image of oeax location
