tag,mark,title,url,subscribe
studio,cancel,Datasette Studio,https://github.com/datasette/studio),""
theme,mark,Datasette charcoal theme,https://github.com/julien040/charcoal-datasette-theme),""
sqlite,later,csvs-to-sqlite,https://github.com/simonw/csvs-to-sqlite),""
render,cancel,data-tourism,https://github.com/LNshuti/data-tourism),""
import,cache,datapackage-to-datasette,https://github.com/chris48s/datapackage-to-datasette),""
other,cache,datasette-atom,https://github.com/simonw/datasette-atom),""
web,cache,datasette-auth-github,https://github.com/simonw/datasette-auth-github),""
data,later,datasette-backup,https://github.com/simonw/datasette-backup),""
web,mark,datasette-block-robots,https://github.com/simonw/datasette-block-robots),""
search,cache,datasette-configure-fts,https://github.com/simonw/datasette-configure-fts),""
edit,later,datasette-copyable,https://github.com/simonw/datasette-copyable),""
other,cache,datasette-css-properties,https://github.com/simonw/datasette-css-properties),""
board,cancel,datasette-dashboards,https://github.com/rclement/datasette-dashboards),""
edit,cache,datasette-edit-schema,https://github.com/simonw/datasette-edit-schema),""
edit,cache,datasette-edit-templates,https://github.com/simonw/datasette-edit-templates),""
edit,cache,datasette-export,https://github.com/simonw/datasette-export),""
render,mark,datasette-external-links-new-tabs,https://github.com/ocdtrekkie/datasette-external-links-new-tabs),""
data,cache,datasette-gzip,https://github.com/simonw/datasette-gzip),""
edit,cache,datasette-insert,https://github.com/simonw/datasette-insert),""
data,later,datasette-jq,https://github.com/simonw/datasette-jq),""
render,cache,datasette-linkify,https://github.com/ernstki/datasette-linkify),""
render,cache,datasette-mailto-links,https://github.com/chris48s/datasette-mailto-links),""
view,later,datasette-mask-columns,https://github.com/simonw/datasette-mask-columns),""
render,cache,datasette-media,https://github.com/simonw/datasette-media),""
metadata,cache,datasette-metadata-editable,https://github.com/datasette/datasette-metadata-editable),""
render,cache,datasette-mp3-audio,https://github.com/simonw/datasette-mp3-audio),""
render,later,datasette-multiline-links,https://github.com/simonw/datasette-multiline-links),""
data,cache,datasette-mutable-downloads,https://github.com/cldellow/datasette-mutable-downloads),""
view,cache,datasette-nteract-data-explorer,https://github.com/hydrosquall/datasette-nteract-data-explorer),""
data,cache,datasette-parquet,https://github.com/cldellow/datasette-parquet),""
user,cache,datasette-permissions-sql,https://github.com/simonw/datasette-permissions-sql),""
tool,cache,datasette-pins,https://github.com/datasette/datasette-pins),""
render,cache,datasette-pretty-json,https://github.com/simonw/datasette-pretty-json),""
user,cache,datasette-public,https://github.com/simonw/datasette-public),""
web,later,datasette-publish-vercel,https://github.com/simonw/datasette-publish-vercel),""
render,cache,datasette-render-html,https://github.com/simonw/datasette-render-html),""
render,cache,datasette-render-image-tags,https://github.com/simonw/datasette-render-image-tags),""
render,cache,datasette-render-images,https://github.com/simonw/datasette-render-images),""
render,later,datasette-render-markdown,https://github.com/simonw/datasette-render-markdown),""
render,cache,datasette-render-timestamps,https://github.com/simonw/datasette-render-timestamps),""
search,cache,datasette-ripgrep,https://github.com/simonw/datasette-ripgrep),""
edit,cache,datasette-saved-queries,https://github.com/simonw/datasette-saved-queries),""
other,cache,datasette-screenshots,https://github.com/simonw/datasette-screenshots),""
view,cache,datasette-seaborn,https://github.com/simonw/datasette-seaborn),""
search,mark,datasette-search-all,https://github.com/simonw/datasette-search-all),""
web,mark,datasette-sitemap,https://github.com/simonw/datasette-sitemap),""
render,cache,datasette-spotify-embed,https://github.com/chekos/datasette-spotify-embed),""
studio,cancel,datasette-studio,https://github.com/datasette/datasette-studio),""
other,cache,datasette-table,https://github.com/simonw/datasette-table),""
render,cache,datasette-tiddlywiki,https://github.com/simonw/datasette-tiddlywiki),""
view,cache,datasette-total-page-time,https://github.com/simonw/datasette-total-page-time),""
edit,cache,datasette-upload-csvs,https://github.com/simonw/datasette-upload-csvs),""
edit,cache,datasette-upload-dbs,https://github.com/simonw/datasette-upload-dbs),""
edit,cache,datasette-webhook-write,https://github.com/mfa/datasette-webhook-write),""
edit,cache,datasette-write-ui,https://github.com/datasette/datasette-write-ui),""
data,later,github-to-sqlite,https://github.com/dogsheep/github-to-sqlite),""
sqlite,cache,pelican-to-sqlite,https://github.com/ryancheley/pelican-to-sqlite),""
