tag,mark,title,url,subscribe
branch,cache,Clean Branches,https://github.com/davidraviv/gh-clean-branches,""
token,cache,GH Token,https://github.com/Link-/gh-token,""
repo,cache,GitHub Archive,https://github.com/Justintime50/github-archive,""
release,cache,GitHub Releaser,https://github.com/carlsberg/gh-releaser,""
branch,later,Tidy,https://github.com/HaywardMorihara/gh-tidy,""
pr,cache,auto,https://github.com/intuit/auto,""
branch,cache,gh branch,https://github.com/mislav/gh-branch,""
release,later,gh bump,https://github.com/johnmanjiro13/gh-bump,""
chat,cache,gh chat,https://github.com/vilmibm/gh-chat,""
contrib,cache,gh contrib,https://github.com/mislav/gh-contrib,""
release,later,gh describe,https://github.com/proudust/gh-describe,""
save,cache,gh fire,https://github.com/maximousblk/gh-fire,""
ignore,cache,gh gitignore,https://github.com/garnertb/gh-gitignore,""
dev,cache,gh gp,https://github.com/gitpod-io/gh-gp,""
issue,cache,gh label,https://github.com/heaths/gh-label,""
preview,cache,gh markdown-preview,https://github.com/yusukebe/gh-markdown-preview,""
milestone,cache,gh milestone,https://github.com/valeriobelli/gh-milestone,""
brower,cache,gh repo-explore,https://github.com/samcoe/gh-repo-explore,""
status,cache,gh user-status,https://github.com/vilmibm/gh-user-status,""
repo,cache,gh validate-repo,https://github.com/govindsme/gh-validate-repo,""
brower,cancel,gh xplr,https://github.com/sayanarijit/gh-xplr,""
action,cache,gh-actions-cache,https://github.com/actions/gh-actions-cache,""
action,cache,gh-actions-status,https://github.com/rsese/gh-actions-status,""
changelog,cache,gh-cl,https://github.com/tmkx/gh-cl,""
org,cache,gh-clone-org,https://github.com/matt-bartel/gh-clone-org,""
pr,later,gh-combine-prs,https://github.com/rnorth/gh-combine-prs,""
contrib,cache,gh-contribs,https://github.com/mintarchit/gh-contribs,""
download,cache,gh-cp,https://github.com/mislav/gh-cp,""
pr,cache,gh-dash,https://github.com/dlvhdr/gh-dash,""
pr,cache,gh-difftool,https://github.com/speedyleion/gh-difftool,""
download,mark,gh-download,https://github.com/yuler/gh-download,""
user,cache,gh-eco,https://github.com/jrnxf/gh-eco,""
repo,mark,gh-f,https://github.com/gennaro-tedesco/gh-f,""
search,cache,gh-fzrepo,https://github.com/sheepla/gh-fzrepo,""
download,cache,gh-get-asset,https://github.com/chmouel/gh-get-asset,""
repo,cache,gh-gr,https://github.com/sarumaj/gh-gr,""
contrib,cache,gh-graph,https://github.com/kawarimidoll/gh-graph,""
grep,cache,gh-grep,https://github.com/k1LoW/gh-grep,""
branch,cache,gh-home,https://github.com/norwd/gh-home,""
hook,cache,gh-hook,https://github.com/lucasmelin/gh-hook,""
tool,later,gh-inspire,https://github.com/lakuapik/gh-inspire,""
download,later,gh-install,https://github.com/redraw/gh-install,""
issue,cache,gh-iz,https://github.com/gennaro-tedesco/gh-i,""
tool,cache,gh-look,https://github.com/LangLangBart/gh-look,""
brower,mark,gh-ls,https://github.com/wuwe1/gh-ls,""
notify,cache,gh-notify,https://github.com/meiji163/gh-notify,""
tool,cache,gh-oblique,https://github.com/vilmibm/gh-oblique,""
org,cache,gh-org-browse-repo,https://github.com/gh-cli-for-education/gh-org-browse-repo,""
org,cache,gh-org-users,https://github.com/yermulnik/gh-org-users,""
user,cache,gh-profile,https://github.com/gabe565/gh-profile,""
pull,cache,gh-pulls,https://github.com/AaronMoat/gh-pulls,""
repo,cache,gh-repo-fzf,https://github.com/kavinvalli/gh-repo-fzf,""
search,cache,gh-s,https://github.com/gennaro-tedesco/gh-s,""
screen,cache,gh-screensaver,https://github.com/vilmibm/gh-screensaver,""
release,later,gh-semver,https://github.com/koozz/gh-semver,""
sql,cache,gh-sql,https://github.com/KOBA789/gh-sql,""
star,cache,gh-star,https://github.com/aymanbagabas/gh-stars,""
timer,later,gh-timer,https://github.com/anmalkov/gh-timer,""
star,cache,gh-user-stars,https://github.com/korosuke613/gh-user-stars,""
user,cache,gh-userfetch,https://github.com/sheepla/gh-userfetch,""
issue,cache,gh-workon,https://github.com/chmouel/gh-workon,""
upload,cache,ghr,https://github.com/tcnksm/ghr,""
upload,cache,github-release,https://github.com/github-release/github-release,""
branch,later,poi,https://github.com/seachicken/gh-poi,""
