tag,mark,title,url,subscribe
tool,extra,Keypirinha ColorPicker,https://github.com/clinden/keypirinha-colorpicker,""
git,mark,Keypirinha Git,https://github.com/ueffel/Keypirinha-Git,""
control,cache,Keypirinha Plugin: Audio Switcher,https://github.com/armotic/keypirinha-audioswitcher,""
tool,mark,Keypirinha Plugin: Currency,https://github.com/AvatarHurden/keypirinha-currency,""
ime,cache,Keypirinha Plugin: FakerData,https://github.com/Fuhrmann/keypirinha-faker-data,""
git,cache,Keypirinha Plugin: Git-Fork,https://github.com/fran-f/keypirinha-git-fork,""
git,mark,Keypirinha Plugin: GitHub,https://github.com/laughk/Keypirinha-GitHub,""
search,cache,Keypirinha Plugin: MovieDB,https://github.com/Fuhrmann/keypirinha-moviedb,""
tool,cache,Keypirinha Plugin: MyIP,https://github.com/Fuhrmann/keypirinha-myip,""
tool,mark,Keypirinha Plugin: MyIpExtended,https://github.com/andriykrefer/Keypirinha-MyIpExtended,""
tool,cache,Keypirinha Plugin: QR Code,https://github.com/thisisleobro/Keypirinha-qrcode,""
history,mark,Keypirinha Plugin: Recent Items,https://github.com/s-oram/keypirinha-recent_items,""
game,cache,Keypirinha Plugin: Steam,https://github.com/EhsanKia/keypirinha-plugins/tree/master/keypirinha-steam,""
app,extra,Keypirinha Plugin: Svc,https://github.com/DrorHarari/keypirinha-svc,""
ime,mark,Keypirinha Plugin: Symbols,https://github.com/josbalcaen/keypirinha-symbols,""
tool,cache,Keypirinha Plugin: epoch,https://github.com/prayzzz/keypirinha-epoch,""
music,cancel,Keypirinha Plugin: foobar2000,https://github.com/tuteken/Keypirinha-Plugin-foobar2000,""
ime,extra,Keypirinha Plugin: gitmoji next,https://github.com/grandsilence/keypirinha-gitmoji-next,""
ime,mark,Keypirinha Plugin: lipsum,https://github.com/Fuhrmann/keypirinha-lipsum,""
note,mark,Keypirinha Plugin: quicknote-markdown,https://github.com/NopenAI/keypirinha-quicknote-markdown,""
app,cache,Keypirinha WindowsApps,https://github.com/ueffel/Keypirinha-WindowsApps,""
terminal,mark,Keypirinha-Command,https://github.com/bantya/Keypirinha-Command,""
manage,mark,Keypirinha-PackageControl,https://github.com/ueffel/Keypirinha-PackageControl,""
search,cache,Keypirinha-Plugin-Ditto,https://github.com/tuteken/Keypirinha-Plugin-Ditto,""
app,mark,Keypirinha-Plugin-Kill,https://github.com/ueffel/Keypirinha-Plugin-Kill,""
tool,mark,Keypirinha-PuzzTools,https://github.com/EhsanKia/Keypirinha-PuzzTools,""
search,cache,Keypirinha-Recoll,https://github.com/marcus-at-localhost/Keypirinha-Recoll,""
document,mark,Keypirinha-Zealous,https://github.com/bantya/Keypirinha-Zealous,""
manage,cache,PackageControl-Server,https://github.com/ueffel/PackageControl-Server,""
shell,cache,PowerSwitch Plugin for Keypirinha,https://github.com/NMeJa/keypirinha-powerswitch,""
game,cache,keypirinha-Playnite,https://github.com/SomeoneIsWorking/keypirinha-Playnite,""
game,cache,keypirinha-allmygames,https://github.com/TanninOne/keypirinha-allmygames,""
search,cache,keypirinha-chocolatey,https://github.com/dufferzafar/keypirinha-chocolatey,""
terminal,mark,keypirinha-conemu,https://github.com/benmetheny/keypirinha-conemu,""
tool,mark,keypirinha-cvt,https://github.com/DrorHarari/keypirinha-cvt,""
document,cancel,keypirinha-devdocs,https://github.com/theZetrax/keypirinha-devdocs,""
hardware,cancel,keypirinha-monitorcontrol,https://github.com/ccarpo/keypirinha-monitorcontrol,""
search,cache,keypirinha-notionSearcher,https://github.com/wolloda/keypirinha-notionSearcher,""
folder,mark,keypirinha-shell,https://github.com/DrorHarari/keypirinha-shell,""
note,mark,keypirinha-snippets,https://github.com/dozius/keypirinha-snippets,""
terminal,cache,keypirinha-terminal-profiles,https://github.com/fran-f/keypirinha-terminal-profiles,""
theme,mark,keypirinha-theme-builder,https://github.com/Fuhrmann/keypirinha-theme-builder,""
search,mark,keypirinha-tldr,https://github.com/ronan696/keypirinha-tldr,""
app,mark,keypirinha-winsys,https://github.com/kvnxiao/keypirinha-winsys,""
