package,title,topic,maintainer,url,readme,source,mark
aboensis,Aboensis – A late medieval OpenType cursive font,"proportional font,font support,medieval font,display font,otf font,bookhand font,calligraphic font",Tommi Syrjänen,https://www.ctan.org/pkg/aboensis,https://mirrors.ctan.org/fonts/aboensis/README,https://www.ctan.org/tex-archive/fonts/aboensis,""
archivo,Archivo – The Archivo font face with support for LaTeX and pdfLaTeX,"font ttf,font support,body font,font t1enc,font,font serif,proportional font",Carl-Clemens Ebinger,https://www.ctan.org/pkg/archivo,https://mirrors.ctan.org/fonts/archivo/README,https://github.com/ccebinger/CTAN_Archivo,""
arsclassica,ArsClassica – A different view of the ClassicThesis package,dissertation,Lorenzo Pantieri,https://www.ctan.org/pkg/arsclassica,https://mirrors.ctan.org/macros/latex/contrib/arsclassica/README,https://www.ctan.org/tex-archive/macros/latex/contrib/arsclassica,""
arvo,Arvo – The Arvo font face with support for LaTeX and pdfLaTeX,"font ttf,font,font t1enc,body font,font support,proportional font,font serif",Carl-Clemens Ebinger,https://www.ctan.org/pkg/arvo,https://mirrors.ctan.org/fonts/arvo/README,https://github.com/ccebinger/CTAN_Arvo,""
biblatex,BibLaTeX – Sophisticated Bibliographies in LaTeX,"biblatex,biblio,e-tex","Philip Kime,Philipp Lehman (inactive)",https://www.ctan.org/pkg/biblatex,https://mirrors.ctan.org/macros/latex/contrib/biblatex/README,https://github.com/plk/biblatex,""
geneve_1564,Bible de Genève 1564,"book,bible",raphink,\,\,https://github.com/raphink/geneve_1564,""
cclicenses,CClicenses – Typeset Creative Commons licence logos,logo,Gianluca Pignalberi,https://www.ctan.org/pkg/cclicenses,https://mirrors.ctan.org/macros/latex/contrib/cclicenses/README,https://www.ctan.org/tex-archive/macros/latex/contrib/cclicenses,""
cascadia-code,CascadiaCode – The Cascadia Code font with support for LaTeX and pdfLaTeX,"font,otf font,font support,font type1,font t1enc,sans font,monospaced font",Carl-Clemens Ebinger,https://www.ctan.org/pkg/cascadia-code,https://mirrors.ctan.org/fonts/cascadia-code/README,https://github.com/ccebinger/CTAN_cascadia-code,""
circuitikz,CircuiTikZ – Draw electrical networks with TikZ,"graphics,electronic,circuit diagram,pgf tikz","Stefan Erhardt,Romano Giannetti,Stefan Lindner,Massimo Redaelli",https://www.ctan.org/pkg/circuitikz,https://mirrors.ctan.org/graphics/pgf/contrib/circuitikz/README.md,https://github.com/circuitikz/circuitikz,""
circuit-macros,Circuit_macros – M4 macros for electric circuit diagrams,"circuit diagram,electronic",Dwight Aplevich,https://www.ctan.org/pkg/circuit-macros,https://mirrors.ctan.org/graphics/circuit_macros/README,https://gitlab.com/aplevich/circuit_macros,""
