tag,mark,title,url,subscribe
image,cache,(Logseq Plugin: Multiple Files into Assets),https://github.com/YU000jp/logseq-plugin-multiple-assets,""
image,cache,(Logseq Plugin: Preview Image),https://github.com/YU000jp/logseq-plugin-preview-image,""
toc,extra,(logseq-toc-plugin),https://github.com/benjypng/logseq-toc-plugin,""
link,cache,Automatic Linker,https://github.com/sawhney17/logseq-automatic-linker,""
edit,cache,Automatic format url title,https://github.com/0x7b1/logseq-plugin-automatic-url-title,""
edit,extra,Blank Line,https://github.com/YU000jp/logseq-plugin-blank-line,""
list,extra,Bullet Point Custom Icon,https://github.com/YU000jp/logseq-plugin-bullet-point-custom-icon,""
list,extra,Bullet Threading,https://github.com/pengx17/logseq-plugin-bullet-threading,""
synax,extra,Copy Code,https://github.com/vyleung/logseq-copy-code-plugin,""
synax,cache,Drawio Plugin,https://github.com/lee88688/logseq-drawio-plugin,""
edit,cache,Easy and Simple Footnotes,https://github.com/gremi-jr/logseq-footnote-plugin,""
edit,cache,Extra editing commands,https://github.com/freder/logseq-plugin-extra-editing-commands,""
synax,extra,Fenced code plus,https://github.com/xyhp915/logseq-fenced-code-plus,""
sytle,extra,Hide Everything,https://github.com/ahonn/logseq-plugin-hide-everything,""
note,cache,Hypothesis,https://github.com/c6p/logseq-hypothesis,""
image,extra,Image auto resizer,https://github.com/yutaodou/logseq-image-auto-resizer,""
calendar,cache,Journals calendar,https://github.com/xyhp915/logseq-journals-calendar,""
data,cache,LOGSEQ-BOOK-FETCH,https://github.com/LuloDev/logseq-book-fetch,""
link,extra,Link Preview,https://github.com/pengx17/logseq-plugin-link-preview,""
todo,cache,Logseq Deadline Countdown,https://github.com/xxchan/logseq-deadline-countdown,""
link,cache,Logseq Dictionary,https://github.com/trashhalo/logseq-dictionary,""
synax,cache,Logseq Grammarly,https://github.com/xflash96/logseq-grammarly,""
analysis,cache,Logseq Graph Analysis,https://github.com/trashhalo/logseq-graph-analysis,""
logseq,cache,Logseq Publish SPA,https://github.com/marketplace/actions/logseq-publish-spa,""
style,cache,Logseq Refile,https://github.com/meain/logseq-plugin-refile,""
edit,cache,Logseq Summarizer,https://github.com/trashhalo/logseq-summarizer,""
link,cache,Logseq insert movie properties,https://github.com/b-yp/logseq-insert-movie-properties,""
edit,cache,Logseq preview footnote,https://github.com/b-yp/logseq-preview-footnote,""
asset,cache,MHTML/HTML View Plugin,https://github.com/lee88688/logseq-mhtml-view-plugin,""
edit,extra,Merge Nested Blocks Into One,https://github.com/georgeguimaraes/logseq-plugin-merge-nested-blocks-into-one,""
link,cache,Movies,https://github.com/darthorimar/logseq-movies-plugin,""
synax,cache,Music Notation,https://github.com/benjaffe/logseq-music-notation,""
list,extra,Ordered Lists,https://github.com/sethyuan/logseq-plugin-ol,""
asset,cache,PDF Export Plugin,https://github.com/OverflowCat/logseq-pdf-nav,""
edit,extra,Paste More,https://github.com/usoonees/logseq-plugin-paste-more,""
edit,extra,Save Scrollbar Position,https://github.com/studyduck/logseq-save-scrollbar-position,""
link,extra,Shorten My Links,https://github.com/stdword/logseq13-shorten-my-links,""
calendar,cache,Single Journal,https://github.com/YU000jp/logseq-plugin-single-journal,""
audio,cache,Spotify integration,https://github.com/hankhank10/i-listened-plugin,""
todo,cache,TODO Master,https://github.com/pengx17/logseq-plugin-todo-master,""
icon,extra,Tabler picker,https://github.com/yoyurec/logseq-tabler-picker,""
tab,extra,Tabs,https://github.com/pengx17/logseq-plugin-tabs,""
metadata,cache,Tags,https://github.com/gidongkwon/logseq-plugin-tags,""
edit,cache,Text Wrapper,https://github.com/sethyuan/logseq-plugin-wrap,""
todo,cache,Time Recorder,https://github.com/5hir0kur0/logseq-time-recorder,""
edit,cache,URL+,https://github.com/rlhk/logseq-url-plus,""
book,cache,Whisper Subtitles for Videos,https://github.com/usoonees/logseq-plugin-whisper-subtitles,""
metadata,cache,logseq-datetag-plugin,https://github.com/sawhney17/logseq-datetag-plugin,""
asset,extra,logseq-localassets-plugin,https://github.com/hkgnp/logseq-localassets-plugin,""
book,cache,logseq-plugin-audiobookshelf-,https://github.com/etopeter/logseq-plugin-audiobookshelf-import,""
hide,extra,logseq-privacy-mode,https://github.com/duydl/logseq-privacy-mode,""
dictionary,cache,logseq-randomutils-plugin,https://github.com/hkgnp/logseq-randomutils-plugin,""
data,cache,logseq-tablerender-plugin,https://github.com/hkgnp/logseq-tablerender-plugin,""
synax,cache,logseq-writegood-plugin,https://github.com/hkgnp/logseq-writegood-plugin,""
theme,extra,miA theme,https://github.com/playerofgames/logseq-mia-theme,""
