tag,mark,title,url,subscribe
packager,cache,AppImageKit,https://github.com/AppImage/AppImageKit,""
profiler,cache,AppleCake,https://github.com/EngineerSmith/AppleCake,""
"library,ui",cache,Badar,https://github.com/Nabeel20/Badar,""
packager,cache,GameImage,https://github.com/ruanformigoni/gameimage,""
library,cache,GameStateManager,https://github.com/GwyrddGlas/GameStateManager,""
tool,cancel,GifCat,https://github.com/WetDesertRock/GifCat,""
particle,cache,Hot Particles,https://github.com/ReFreezed/HotParticles,""
keyboard,cache,Kazari,https://github.com/MikuAuahDark/Kazari,""
ui,cache,LUIS: Love UI System,https://github.com/SiENcE/luis,
dialogue,cache,LoveDialogue,https://github.com/Miisan-png/Love-Dialogue,""
keyboard,cache,LoveKeys,https://github.com/SpaceCat-Chan/LoveKeys,""
packager,cache,Lover,https://github.com/Wolfyxon/lover,""
library,cache,LowerClass,https://github.com/DevonPalma/LowerClass,""
packager,cache,LÖVE Game Development & Automated Build System,https://github.com/Oval-Tutu/bootstrap-love2d-project,
platform,cache,LÖVE Potion,https://github.com/lovebrew/lovepotion,""
function,cache,LÖVEly Trees,https://github.com/Nrosa01/LOVElyTrees,
toast,cache,Lövely Toasts,https://codeberg.org/togfox/Lovely-Toasts,""
library,cache,Polysec,https://github.com/dknight/polysec,""
txt,cache,SYSL-Text,https://github.com/sysl-dev/SYSL-Text,""
gui,cache,Slab,https://github.com/flamendless/Slab,""
action,cache,Walt,https://github.com/davisdude/Walt,""
image,cache,anim8,https://github.com/kikito/anim8,""
image,cache,animX,https://github.com/besnoi/animX,""
image,cache,autobatch,https://github.com/rxi/autobatch,""
"library,barcode",cache,bar128-love,https://github.com/Nawias/bar128-love,""
serial,cache,bitser,https://github.com/gvx/bitser,""
library,cache,bitumbra,https://github.com/a13X-B/bitumbra,""
packager,cache,boon,https://github.com/camchenry/boon,release
library,cache,breezefield,https://github.com/HDictus/breezefield,""
library,cache,brinevector,https://github.com/novemberisms/brinevector,""
asset,cache,cargo,https://github.com/bjornbytes/cargo,""
image,cache,cartographer,https://github.com/tesselode/cartographer,""
layout,cache,center,https://github.com/S-Walrus/centers,""
gui,cancel,cimgui-love,https://github.com/apicici/cimgui-love,""
color,cache,colorchanger,https://github.com/santoslove/colorchanger,""
ecs,cache,concord,https://github.com/Keyslam/Concord,""
library,cache,cpml,https://github.com/excessive/cpml,""
action,cache,deep,https://github.com/Nikaoto/deep,""
ecs,cache,ecs-lua,https://github.com/nidorx/ecs-lua,""
gui,cache,gooi,https://github.com/tavuntu/gooi,""
function,cache,i18n,https://github.com/excessive/i18n,""
image,cache,iffy,https://github.com/besnoi/iffy,""
scr,cache,ini_parser,https://github.com/nobytesgiven/ini_parser,""
gui,cancel,inky,https://github.com/Keyslam/Inky,""
keyboard,cache,input,https://github.com/xiejiangzhi/input,""
library,cancel,light_world.lua,https://github.com/tanema/light_world.lua,""
library,cancel,lighter,https://github.com/speakk/lighter,""
asset,cache,lily,https://github.com/MikuAuahDark/lily,""
library,cache,loaded_dice,https://github.com/a13X-B/loaded_dice,""
asset,cache,love-ase,https://github.com/elloramir/love-ase,""
deploy,cache,love-deploy,https://github.com/tducasse/love-deploy,""
packager,cache,love-fuser,https://github.com/MikuAuahDark/love-fuser,""
gui,cancel,love-nuklear,https://github.com/keharriso/love-nuklear,""
packager,cache,love-packager,https://github.com/simplifylabs/love-packager,""
"library,qrcode",cache,love-qrcode,https://github.com/Nawias/love-qrcode,""
library,cache,loveblobs,https://github.com/solenum/loveblobs,""
profiler,cache,lovedebug,https://github.com/flamendless/lovedebug,""
"moon,asset",cache,lovelier,https://github.com/patrixr/lovelier,""
gui,cache,lovely-engine,https://github.com/vinnyhorgan/lovely-engine,""
play,cache,loveplayground,https://github.com/CSaratakij/LovePlayground,""
profiler,cache,loveprofiler,https://github.com/dknight/loveprofiler,""
play,cache,lovet,https://github.com/cristoferfb/lovet,""
ui,cache,lovr-ui2d,https://github.com/immortalx74/lovr-ui2d,""
api,cache,luasteam,https://github.com/uspgamedev/luasteam,""
packager,cache,löve-build,https://github.com/ellraiser/love-build,""
packager,cache,makelove,https://github.com/pfirsich/makelove,""
txt,cache,manami.lua,https://github.com/MikuAuahDark/NPad93/blob/master/manami.lua,""
library,cache,middleclass,https://github.com/kikito/middleclass,""
"moon,library",cache,moonblob,https://github.com/megagrump/moonblob,""
moon,cache,moonscript,https://github.com/leafo/moonscript,""
"moon,func",cache,muun,https://github.com/megagrump/muun,""
ink,cache,narrator,https://github.com/astrochili/narrator,""
asset,cancel,nativefs,https://github.com/EngineerSmith/nativefs,""
particle,cache,particle-system-playground,https://github.com/santoslove/particle-system-playground,""
"moon,library",cache,pathfun,https://github.com/apicici/pathfun,""
