tag,mark,title,url,subscribe
link,cache,Alternate Link,https://github.com/cmitu/mkdocs-altlink-plugin,""
list,mark,Breakless Lists Markdown Extension,https://github.com/adamb70/mdx-breakless-lists,""
meta,cache,Contribs,https://neoteroi.dev/mkdocs-plugins/contribs/,""
synax,cache,Diagrams.net (Draw.io) Exporter for MkDocs,https://github.com/LukeCarrier/mkdocs-drawio-exporter,""
field,cancel,Embed File,https://github.com/Enveloppe/mkdocs-embed_file-plugin,""
index,mark,File exclude plugin for mkdocs,https://github.com/apenwarr/mkdocs-exclude,""
theme,cache,Gallery of MkDocs themes,https://github.com/pawamoy/mkdocs-gallery,""
admonition,cache,GitHub Admonitions for MkDocs,https://github.com/PGijsbers/admonitions,""
index,cache,Gradle Mkdocs plugin,https://github.com/xvik/gradle-mkdocs-plugin,""
image,cache,Image-formatter,https://github.com/ASypula/mkdocs-image-formatter-plugin,""
theme,cache,Lantana,https://github.com/WSOFT-Project/lantana,""
image,cache,Lightgallery markdown Extension,https://github.com/g-provost/lightgallery-markdown,""
proof,cache,Link Checker for Mkdocs-based static generated sites,https://github.com/byrnereese/linkchecker-mkdocs,""
link,cache,Link Embeds Plugin: mkdocs,https://github.com/Aetherinox/mkdocs-link-embeds,""
metadata,cache,MKDocs Exclude Tagged Files,https://github.com/JonasDoesThings/mkdocs-exclude-tagged-files,""
theme,mark,Material for MkDocs,https://squidfunk.github.io/mkdocs-material,""
list,mark,Mdx Truly Sane Lists,https://github.com/radude/mdx_truly_sane_lists,""
link,mark,MkDocs - Open in a new tab plugin,https://github.com/JakubAndrysek/mkdocs-open-in-new-tab,""
audio,cache,MkDocs Audio,https://github.com/jfcmontmorency/mkdocs-audio,""
link,mark,MkDocs Autolinks Plugin,https://github.com/zachhannum/mkdocs-autolinks-plugin,""
nav,cache,MkDocs Awesome Pages Plugin,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,""
link,cache,MkDocs Backlinks Section Plugin,https://github.com/six-two/mkdocs-backlinks-section-plugin,""
pdf,mark,MkDocs Exporter,https://github.com/adrienbrignon/mkdocs-exporter,""
index,cache,MkDocs File Filter Plugin,https://github.com/DariuszPorowski/mkdocs-file-filter-plugin,""
image,mark,MkDocs GLightbox,https://github.com/blueswen/mkdocs-glightbox,""
pdf,cancel,MkDocs PDF Export Plugin,https://github.com/HaoLiuHust/mkdocs-mk2pdf-plugin,""
