tag,mark,title,url,subscribe
shader,later,A-Pack,https://github.com/butterw/bShaders,""
"player,linux",cache,AmPv,https://github.com/ArkThis/AmPv,""
gp-stream,later,Audio WebDAV & Sub WebDAV,https://github.com/Kibakus/mpv-scripts,""
preset,cache,Auto MPV,https://github.com/hishiro64/auto-mpv,""
linux,cache,Auto mpv A-V delay on bluetooth device,https://github.com/fatihkaan22/mpv-bluetooth-av-delay,""
subtitle,cache,Automatic subtitle downloading,https://github.com/davidde/mpv-autosub,""
bookmark,cache,Bookmarker Menu for mpv,https://github.com/NurioHin/mpv-bookmarker,""
gui,cache,Context Menu for mpv,https://gitlab.com/carmanaught/mpvcontextmenu,""
gb-video,mark,Format Filename,https://github.com/Hill-98/mpv-config,""
gp-video,cache,Free TV,https://github.com/free-tv/iptv,""
anki,cache,Immersive,https://github.com/Ben-Kerman/immersive,""
global,mark,InputEvent,https://github.com/natural-harmonia-gropius/input-event,""
anime,cache,Keroro,https://github.com/hotsno/keroro,""
"global,keymap",mark,Leader,https://github.com/Seme4eg/mpv-scripts,""
"global,keymap",mark,M-x,https://github.com/Seme4eg/mpv-scripts,""
discord,cache,MPV Discord Rich Presence,https://github.com/ryze312/mpv-rpc,""
gp-edit,cache,MPV GIF generator script (DanSM-5),https://github.com/DanSM-5/mpv-gif-generator,""
gp-edit,cache,MPV GIF generator script (tyalie),https://github.com/tyalie/mpv-gif-generator,""
gp-video,mark,MPV Subtitle Retimer,https://github.com/genfu94/mpv-subtitle-retimer,""
subtitle,cache,MPV Subtitle Translator,https://github.com/chaorderss/mpv-auto-translater,""
gp-manga,later,MPV Watch Later OSD Menu,https://github.com/JKubovy/MPV-Watch-Later-OSD-Menu,""
gp-video,cache,MPV unseen-playlistmaker,https://github.com/jonniek/unseen-playlistmaker,""
music,mark,MPV-LoudNorm,https://github.com/thinkmcflythink/mpv-loudnorm,""
gp-music,later,Metadata OSD script for mpv player,https://github.com/vc-01/metadata-osd,""
bookmark,cache,Minimal bookmarks for mpv,https://github.com/pyronone/mpv_minimal_bookmarks,""
ui,cache,ModernX,https://github.com/cyl0/ModernX,""
ui,cache,ModernZ,https://github.com/Samillion/ModernZ,""
global,mark,Mpv Filenavigator,https://github.com/jonniek/mpv-filenavigator,""
"linux,arch",cache,Mpv Subs Popout,https://github.com/sdaqo/mpv-subs-popout,""
gp-music,mark,Mpv-Playlistmanager,https://github.com/jonniek/mpv-playlistmanager,""
switch,cache,NXMP,https://github.com/proconsule/nxmp,""
subtitle,later,PlayPhrase,https://github.com/kelciour/playphrase,""
shader,cache,Plex GLSL Shaders,https://github.com/LitCastVlog/Plex-GLSL-Shaders,""
gp-edit,cache,PureMPV,https://github.com/4ndrs/PureMPV,""
linux,cache,Rationale,https://github.com/glubsy/mpv-limited-autoload,""
history,cancel,Recent menu,https://github.com/natural-harmonia-gropius/recent-menu,""
shader,later,Retro console shaders for MPV,https://github.com/hhirtz/mpv-retro-shaders,""
file,cache,Reviewing,https://gitlab.com/lvml/mpv-plugin-review,""
"gp-video,vidstab",cache,Scripted mpv,https://github.com/arjanverkerk/mbrowser,""
"gp-edit,tag",cache,Serkio Tagger,https://github.com/SerkioTeam/Tagger,""
bookmark,cache,SimpleBookmark,https://github.com/eisa01/mpv-scripts,""
subtitle,cache,SubtitleTranslateMPV,https://github.com/energostalin/subtitle-translate-mpv,""
tool,cache,Whisper-mpv,https://github.com/ramkafasi/whisper-mpv,""
gp-karaok,cancel,adevice-list.lua,https://github.com/dyphire/mpv-scripts,""
"stream,hls",cache,anilabxmax-mpv-fix,https://github.com/trigger337/anilabxmax-mpv-fix,""
gp-stream,mark,appendURL.lua,https://github.com/jonniek/mpv-scripts,""
gp-karaok,later,audio-dupe.lua,https://gist.github.com/bitingsock/5e9714efff963c9689b0671d68f195ad,""
gp-music,cache,audio-file-keys.lua,https://github.com/fbriere/mpv-scripts,""
gp-video,mark,auto-save-state.lua,https://github.com/AN3223/dotfiles,""
"screen,built-in",cache,autocrop.lua,https://github.com/mpv-player/mpv,""
gp-image,later,autoloop.lua,https://github.com/zc62/mpv-scripts,""
subtitle,mark,autoselect-forced-sub,https://github.com/pierretom/autoselect-forced-sub,""
subtitle,cache,autosubsync-mpv,https://github.com/joaquintorres/autosubsync-mpv,""
gp-karaok,later,average_volume.lua,https://github.com/stax76/mpv-scripts,""
bilibili,cache,bdanmaku,https://github.com/UlyssesZh/bdanmaku,""
chapter,cache,betterchapters.lua,https://gist.github.com/Hakkin/4f978a5c87c31f7fe3ae,""
global,mark,blackout.lua,https://github.com/sibwaf/mpv-scripts,""
gp-stream,mark,celebi,https://github.com/po5/celebi,""
chapter,cache,chapter-make-read.lua,https://github.com/dyphire/mpv-scripts,""
"gp-edit,chapter",mark,chapters for mpv,https://github.com/mar04/chapters_for_mpv,""
linux,later,copy-subtitle.lua,https://github.com/linguisticmind/mpv-scripts,""
gp-edit,cache,copy-timestamp.lua,https://github.com/linguisticmind/mpv-scripts,""
"crop,gif",cache,crop.lua,https://github.com/occivink/mpv-scripts,""
gp-stream,cache,currently_listening,https://github.com/seanbreckenridge/currently_listening,""
gp-music,cache,cycle-adevice.lua,https://gist.github.com/bitingsock/ad58ee5da560ecb922fa4a867ac0ecfd,""
shader,cache,default-shader-pack,https://github.com/iwalton3/default-shader-pack,""
gp-video,mark,delete-file,https://github.com/zenyd/mpv-scripts,""
gp-karaok,later,display-name.lua,https://github.com/cogentredtester/mpv-scripts,""
gp-video,later,dynamic-crop.lua,https://github.com/Ashyni/mpv-scripts,""
preset,cache,easympv,https://github.com/jongwastaken/easympv,""
global,mark,editions-notification.lua,https://github.com/cogentredtester/mpv-scripts,""
"gp-edit,forward",mark,evafast,https://github.com/po5/evafast,""
gp-video,later,exit-fullscreen.lua,https://github.com/zc62/mpv-scripts,""
forward,cache,fastforward.lua,https://github.com/jgreco/mpv-scripts,""
"skip,audio",cache,ff-silence,https://github.com/mesvam/ff-silence,""
gp-music,cache,fg.lavfi-audio-vis.lua,https://github.com/mk-fg/de-setup,""
"gp-video,subtitle",mark,find_subtitles,https://github.com/directorscut82/find_subtitles,""
linux,cache,foo_mpv,https://github.com/sammoth/foo_mpv,""
