tag,mark,title,url,subscribe
"nvl,gui",later,- E N T R O P O N A U T -,https://github.com/jsfehler/entroponaut,""
"background,camera",cache,1080p wipes (image dissolve transitions),https://lemmasoft.renai.us/forums/viewtopic.php?f=52&t=37628#p407567,""
"frame,fillet",cancel,A Frame displayable which has rounds off corners using shaders,https://gist.github.com/Pseurae/15dc9c6a145161063126c3b4de39a0aa,""
"sprite,generate",cache,A primitive automatic loader for the simple kind of layered images,https://gist.github.com/methanoliver/2668767d5332aea66a866d2b84692d1c,""
fuction,later,Achievements Framework,https://bobcgames.itch.io/bobcachievements,""
fuction,later,Achievements for Ren'Py,https://feniksdev.itch.io/achievements-for-renpy,""
"development,sprite",later,ActionEditor3,https://github.com/kyouryuukunn/renpy-ActionEditor3,""
text,cache,AdvancedText,https://github.com/rakugoteam/AdvancedText,""
"prop,clock-simulator",cancel,Analog Clock,https://github.com/williamd1k0/renpy-analog-clock,""
mini-game,cancel,Another Rock Paper Scissors game,https://lemmasoft.renai.us/forums/viewtopic.php?f=51&t=50068#p486361,""
"development,audiobook",cache,AudioTextSync To Ren’Py,https://github.com/asayake-b5/audiobooksync2renpy,""
"character,zoom",cancel,Autofocus,https://github.com/Elckarow/Autofocus,""
"character,avater",cancel,Automated Side Images with Circular Cropping,https://lemmasoft.renai.us/forums/viewtopic.php?f=51&t=64534,""
dialogue,cancel,Automatic Speech Bubbles,https://patreon.renpy.org/speech-bubbles.html,""
"translate,ai",cancel,Automatic Translations,https://github.com/Moshibit/RenPy_automatic_translations,""
button,cache,BGQueue,https://patreon.renpy.org/python-tricks-2.html#bgqueue,""
"menu,background",later,Background,https://patreon.renpy.org/menu-arguments.html#background,""
"dialogue,phone-simulator",cancel,Better EMR Phone,https://github.com/Elckarow/Better-EMR-Phone,""
"menu,transition",later,"Blur scene behind choice menu, fade choices in and out",https://gist.github.com/dossy/cbb7b7ed18a292e4d9c51c8d63a15c69,""
packager,later,Build Ren'Py Project,https://github.com/ProjectAliceDev/renpy-build-action,""
"audio,api",cache,Buns with sound in renpy,https://lemmasoft.renai.us/forums/viewtopic.php?f=51&t=54324#p507536,""
button,cancel,Button PRESSED state,https://lemmasoft.renai.us/forums/viewtopic.php?f=8&t=57848&sid=95776df5d873ef265bcf05244d317495,""
project-page,later,CSS Components,https://nnda.itch.io/page-components,""
"notify,audio",cancel,Caption Tool for Ren’Py,https://npckc.itch.io/caption-tool-for-renpy,""
"syntax,character",later,Character Customization,https://patreon.renpy.org/character-customization.html,""
"chat-log,display",extra,Chat Log,https://github.com/JimTheCactus/chatlogging,""
"notify,feedback",later,Checking for Changes and Displaying A Message,https://patreon.renpy.org/check-for-changes.html,""
"syntax,menu",later,Choice Screen Selection,https://patreon.renpy.org/menu-arguments.html#choice-screen-selection,""
"shader,glitch",cancel,Chroma Glitch,https://github.com/Gouvernathor/renpy-ChromaGlitch,""
mini-tool,cancel,Color Picker,https://github.com/shawna-p/renpy-color-picker,""
mini-tool,cancel,Color Picker for Ren'Py,https://feniksdev.itch.io/color-picker-for-renpy,""
"menu,lock",later,Condition and Sensitive,https://patreon.renpy.org/menu-arguments.html#condition-and-sensitive,""
publish,later,Counter,https://github.com/b1f6c1c4/renpy-counter,""
"menu,timing",later,Custom Preferences,https://patreon.renpy.org/custom-preferences.html,""
"code,variables",cache,Definitive Default,https://feniksdev.com/the-definitive-default-define-renpy-article/,""
publish,later,Demotools,https://github.com/Ayowel/renpy-demotools,""
"api,discord",later,Discord Rich Presence Support,https://github.com/Lezalith/RenPy-Discord-Presence,""
mini-tool,cancel,Drawing a line on a screen,https://lemmasoft.renai.us/forums/viewtopic.php?f=8&t=65755,""
"menu,menu-block",cancel,Drop Down Menus,https://patreon.renpy.org/dev-2022-05.html#drop-down-menus,""
"shader,dust",later,Dust,https://gist.github.com/rurubell/a30752048bbe20de546d737c2476916f,""
"start-menu,icon",later,Dynamic Main Menu And Feather Icons In The Ui Text,https://github.com/RuolinZheng08/renpy-awesome-template#dynamic-main-menu-and-feather-icons-in-the-ui-text,""
data,later,Dynamic Tooltips,https://github.com/HyJyncks/DynamicTooltips,""
"sprite,blink",cancel,Easy Blinking for Ren'Py,https://feniksdev.itch.io/easy-blinking-for-renpy,""
template,extra,Easy Ren'Py GUI,https://github.com/shawna-p/EasyRenPyGui,""
"glossary,page",extra,Encyclopaedia Framework for Ren'Py,https://github.com/jsfehler/renpy-encyclopaedia,""
"api,epic",later,Epic Online Services extension for Ren’Py,https//github.com/Ayowel/renpy-epicgames-eos,""
"api,mobile",cache,Expanding Mobile Functionality With Pyobjus/Pyjnius ...,https://lemmasoft.renai.us/forums/viewtopic.php?f=51&t=46091#p467178,""
"development,sprite",cancel,Expreviewer,https://github.com/Elckarow/Expreviewer,""
fuction,cancel,Extended Music Room for Ren'Py,https://feniksdev.itch.io/extended-music-room-for-renpy,""
"bar,value",cache,Extra Animated Value,https://github.com/RenpyRemix/extra-animated-value,""
"shader,fall-leaf",cancel,Falling Leaves,https://github.com/Thediamondcryst/Ren-Py-Free-to-Use-Falling-Leaves,""
"dialogue,effect",cancel,FancyText Module,https://github.com/yukinogatari/Ren-Py-FancyText,""
"formatter,convert",cancel,Final Draft screenplay to Renpy,https://github.com/RunawayHaggis/FDtoRenpy,""
"mini-game,russian",cancel,Finding items,https://renpyfordummies.blogspot.com/2022/09/renpy.html?m=1,""
"feature,flow",later,Flowchart Plug-In,https://devilspider.itch.io/flowchart-plug-in,""
"frame,gui",cancel,Frame Tool for Ren'Py,https://feniksdev.itch.io/frame-tool-for-renpy,""
"engine,item",later,"Free Inventory Framework for Ren'Py, by Lezalith",https://www.lezcave.com/lezinventory-framework/,""
fuction,later,Gallery Framework,https://bobcgames.itch.io/bobcgallery,""
fuction,later,Gallerynpy,https://github.com/Yoimer-Davila/gallerynpy,""
"menu,layout",later,Grid Menus,https://patreon.renpy.org/menu-arguments.html#grid-menus,""
"cursor,icon",later,Hardware-Accelerated Custom Mouse Cursor,https://patreon.renpy.org/dev-2020-11.html#hardware-accelerated-custom-mouse-cursor,""
