tag,mark,title,url,subscribe
ime,later,Kaomoji Rofi,https://gitlab.com/ceda_ei/kaomoji-rofi,""
bookmark,later,Marcador,https://github.com/joajfreitas/marcador,""
preset,mark,Rofi,https://github.com/adi1090x/rofi,""
control,cache,Rofi Control Center Plugin,https://github.com/bertdida/rofi-control-center,""
obsidian,cache,Rofi Helper,https://github.com/digitalsignalperson/obsidian-rofi-helper,""
emoji,cache,Rofimoji,https://github.com/fdw/rofimoji,""
mpd,cache,clerk,https://github.com/carnager/clerk,""
"dict,sdcv",cache,dict.sh,https://gist.github.com/Amooti73/9dac66ffee26f93baf211ab8c05949cd,""
"keymap,dmenus",cache,dmenu-hotkeys,https://github.com/maledorak/dmenu-hotkeys,""
english,cache,et,https://github.com/PlankCipher/et,""
calc,mark,rofi-calc,https://github.com/svenstaro/rofi-calc,""
"bookmark,firefox",cache,rofi-firefox-bookmark,https://github.com/MusicalArtist12/rofi-firefox-bookmark,""
paste,cache,rofi-gpaste,https://github.com/yusufaktepe/rofi-gpaste,""
"bookmark,linkding",cache,rofi-linkding,https://github.com/merdely/rofi-linkding,""
network,cache,rofi-network-manager,https://github.com/P3rf/rofi-network-manager,""
search,cache,rofi-search,https://github.com/fogine/rofi-search,""
"keymap,x64",mark,rofi-shortcuts,https://github.com/Zeioth/rofi-shortcuts,""
"mount,dmenu",cache,udiskie-dmenu,https://github.com/fogine/udiskie-dmenu,""
youtube,cache,ytdl-mpv,https://github.com/andros21/ytdl-mpv,""
recoll,cache,zzzfoo,https://github.com/andersju/zzzfoo,""
