tag,mark,title,url,subscribe
"jellyfin,plugin",cache,3rd-Party Plugins,https://jellyfin.org/docs/general/server/plugins/index.html#3rd-party-plugin-repositories,""
activitywatch,mark,ActivityWatch,https://github.com/ActivityWatch/activitywatch,release
dns,cache,AdGuardHome,https://github.com/AdguardTeam/AdGuardHome,""
"dns,monitor",cache,AdGuardian-Term,https://github.com/Lissy93/AdGuardian-Term,""
finance,cancel,Akaunting,https://github.com/akaunting/akaunting,""
automation,later,Ansible,https://github.com/ansible/ansible,""
qa,cache,Answer,https://github.com/apache/incubator-answer,""
archive,cache,ArchiveBox,https://github.com/ArchiveBox/ArchiveBox,""
novel,cache,Atsumeru,https://github.com/AtsumeruDev/Atsumeru,""
arr,cache,Bazarr,https://github.com/morpheus65535/bazarr,""
monitor,cache,Beszel,https://github.com/henrygd/beszel,""
web-security,cache,BunkerWeb,https://github.com/bunkerity/bunkerweb,""
ebook,cache,Calibre-Web Automated,https://github.com/crocodilestick/Calibre-Web-Automated,""
ebook,cache,Calibre-Web-Automated-Book-Downloader,https://github.com/calibrain/calibre-web-automated-book-downloader,""
homepage,cache,CasaOS,https://github.com/IceWhaleTech/CasaOS,""
chat,later,Chatwoot,https://github.com/chatwoot/chatwoot,""
gist,cache,Drift,https://github.com/MaxLeiter/Drift,""
erp,cache,ERPNext,https://github.com/frappe/erpnext,""
erp,cache,Ever Gauzy Platform,https://github.com/ever-co/ever-gauzy,""
tag,cache,FeatBit,https://github.com/featbit/featbit,""
file-share,cache,FerriShare,https://github.com/TobiasMarschner/ferrishare,""
community,cache,Flarum,https://github.com/flarum/flarum,""
monitor,cache,Glance,https://github.com/glanceapp/glance,""
git,cache,Gogs,https://github.com/gogs/gogs,""
ims,cache,Grocy,https://grocy.info,""
oms,cache,HOMS,https://github.com/hydra-billing/homs,""
monitor,later,Healthchecks,https://github.com/healthchecks/healthchecks,""
write,cache,HedgeDoc,https://github.com/linuxserver/docker-hedgedoc,""
home-assistant,cache,Home Assistant,https://github.com/home-assistant/core,""
ims,cancel,HomeBox,https://github.com/hay-kot/homebox,""
photo,cache,HomeGallery,https://github.com/xemle/home-gallery,""
pay,later,Hyperswitch,https://github.com/juspay/hyperswitch,""
photo,cache,Immich,https://github.com/immich-app/immich,""
ims,cache,InvenTree,https://github.com/inventree/inventree,""
