tag,mark,title,url,subscribe
mask,cache,ADetailer,https://github.com/Bing-su/adetailer,""
lora,cache,Additional Networks for generating images,https://github.com/kohya-ss/sd-webui-additional-networks,""
preset,cache,Aesthetic Gradients,https://github.com/AUTOMATIC1111/stable-diffusion-webui-aesthetic-gradients,""
sequence,mark,Agent Scheduler,https://github.com/ArtVentureX/sd-webui-agent-scheduler,""
anime,cache,AnimateDiff for Stable Diffusion WebUI,https://github.com/continue-revolution/sd-webui-animatediff,""
edit,cache,Aspect Ratio Helper,https://github.com/thomasasfk/sd-webui-aspect-ratio-helper,""
edit,cache,Auto-Photoshop-StableDiffusion-Plugin,https://github.com/AbdullahAlfaraj/Auto-Photoshop-StableDiffusion-Plugin,""
modify,cache,BMAB,https://github.com/portu-sim/sd-webui-bmab,""
mask,cache,Background Mask,https://github.com/Scholar01/sd-webui-bg-mask,""
comfyui,cache,CImaGen,https://github.com/ServOKio/CImaGen,""
img2txt,mark,CLIP Interrogator extension ...,https://github.com/pharmapsychotic/clip-interrogator-ext,""
edit,cache,Canvas Zoom,https://github.com/richrobber2/canvas-zoom,""
info,cache,"Checker of enable"" statuses in SD Web UI""",https://github.com/shirayu/sd-webui-enable-checker,""
merge,mark,Checkpoint Model Mixer extension,https://github.com/wkpark/sd-webui-model-mixer,""
model,cache,CivitAI Browser+,https://github.com/BlafKing/sd-civitai-browser-plus,""
model,cache,Civitai Extension ...,https://github.com/civitai/sd_civitai_extension,""
model,cache,Civitai Helper2: Model Info Helper,https://github.com/butaixianran/Stable-Diffusion-Webui-Civitai-Helper,""
model,cache,Civitai Shortcut,https://github.com/sunnyark/civitai-shortcut,""
comfyui,mark,ComfyUI,https://github.com/comfyanonymous/ComfyUI,""
comfyui,later,ComfyUI Manager,https://github.com/ltdrdata/ComfyUI-Manager,""
comfyui,later,ComfyUI Segment Anything,https://github.com/storyicon/comfyui_segment_anything,""
"comfyui,liveportrait",cache,ComfyUI nodes to use LivePortrait,https://github.com/kijai/ComfyUI-LivePortraitKJ,""
"comfyui,txt2img",cache,ComfyUI wrapper for Kwai-Kolors,https://github.com/kijai/ComfyUI-KwaiKolorsWrapper,""
video,later,ComfyUI-CogVideoXWrapper,https://github.com/kijai/ComfyUI-CogVideoXWrapper,""
comfyui,cache,ComfyUI-Inspyrenet-Rembg,https://github.com/john-mnz/ComfyUI-Inspyrenet-Rembg,""
