tag,mark,title,url,subscribe
ui,mark,A File Icon,https://github.com/SublimeText/AFileIcon,""
tool,cache,Activity Watch Watcher,https://github.com/kostasdizas/aw-watcher-sublime,""
edit,cache,Advanced CSV,https://github.com/wadetb/Sublime-Text-Advanced-CSV,""
syntax,cache,Alda,https://github.com/erinzm/sublime-alda,""
edit,mark,AlignTab,https://github.com/randy3k/AlignTab,""
editor,cache,Auto Fold,https://github.com/fermads/sublime-autofold,""
syntax,mark,AutoHotkey,https://github.com/ahkscript/SublimeAutoHotkey,""
lint,cache,Autoprefixer,https://github.com/sindresorhus/sublime-autoprefixer,""
highlight,mark,Block Cursor Everywhere,https://github.com/karlhorky/BlockCursorEverywhere,""
highlight,mark,BracketHighlighter,https://facelessuser.github.io/BracketHighlighter,""
edit,mark,Calculate,https://github.com/colinta/SublimeCalculate,""
config,cache,ChineseLocalizations,https://github.com/rexdf/ChineseLocalization,""
filterpipe,mark,ChineseOpenConvert,https://github.com/rexdf/SublimeChineseConvert,""
link,cache,Clickable Urls,https://github.com/leonid-shevtsov/ClickableUrls_SublimeText,""
filterpipe,mark,Color Convert,https://github.com/zhouyuexie/ColorConvert,""
highlight,mark,Color Highlight,https://github.com/Kronuz/ColorHighlight,""
highlight,cache,ColorHelper,https://github.com/facelessuser/ColorHelper,""
highlight,cache,ColorHighlighter,https://github.com/Monnoroch/ColorHighlighter,""
color,mark,Colorsublime,https://github.com/Colorsublime/Colorsublime-Plugin,""
lsp,mark,CommandsBrowser,https://github.com/Sublime-Instincts/CommandsBrowser,""
edit,cache,Comment Marks,https://github.com/maegul/comment_marks,""
view,mark,ComposerPackageInfo,https://github.com/gh640/SublimeComposerPackageInfo,""
filterpipe,cache,ConvertChineseCharacters,https://github.com/leibnizli/ConvertChineseCharacters,""
filterpipe,mark,ConvertFullHalfWidth,https://github.com/naoyukik/SublimeConvertFullHalfWidth,""
config,cache,ConvertToUTF8,https://github.com/seanliang/ConvertToUTF8,""
document,mark,DashDoc,https://github.com/farcaller/DashDoc,""
edit,mark,Data Wizard,https://github.com/nickklaskala/DataWizard,""
filterpipe,cache,DataConverter,https://github.com/fitnr/SublimeDataConverter,""
edit,mark,DeleteBlankLines,https://github.com/NicholasBuse/sublime_DeleteBlankLines,""
view,cache,Dictionary,https://github.com/futureprogrammer360/Dictionary,""
lsp,cache,DictionaryAutoComplete,https://github.com/Zinggi/DictionaryAutoComplete,""
diff,cache,DiffView,https://github.com/CJTozer/SublimeDiffView,""
edit,cache,Display numbers,https://github.com/nia40m/sublime-display-nums,""
"lint,js",later,ESLint,https://github.com/polygonplanet/sublime-text-eslint,""
"open,extension",cache,Edit with Sublime Text,https://add0n.com/edit-as-html.html?from=notepad,""
config,mark,EditorConfig,https://github.com/sindresorhus/editorconfig-sublime,""
config,mark,EditorConfigSnippets,https://github.com/mfuentesg/EditorConfigSnippets,""
filterpipe,cache,Fanhuaji,https://github.com/Fanhuaji/Sublime-Fanhuaji,""
filterpipe,cache,File Filter,https://github.com/vsc-cnst/SublimeTextFileFilter,""
explorer,cache,FileManager,https://github.com/math2001/FileManager,""
filterpipe,mark,FilterPipes,https://github.com/tylerl/FilterPipes,""
highlight,mark,FindCursor,https://github.com/facelessuser/FindCursor,""
keymap,mark,FindKeyConflicts,https://github.com/skuroda/FindKeyConflicts,""
format,cache,Formatter,https://github.com/bitst0rm-pub/Formatter,""
complete,cache,FrequencyDictionaries,https://github.com/kpym/FrequencyDictionaries,""
git,cache,Git blame,https://github.com/frou/st3-gitblame,""
git,cache,GitGutter,https://github.com/jisaacks/GitGutter,""
edit,cache,GitHub Markdown Snippets,https://github.com/praveenpuglia/github_markdown_snippets,""
git,later,GitHub Tools,https://github.com/braver/GitHubTools,""
git,later,GitHubFileFetcher,https://github.com/dennykorsukewitz/Sublime-GitHubFileFetcher,""
git,cache,GitSavvy,https://github.com/timbrel/GitSavvy,""
complete,cache,Hippie Autocomplete,https://github.com/Suor/sublime-hippie-autocomplete,""
view,mark,HyperClick,https://github.com/aziz/SublimeHyperClick,""
image,later,ImagePreview,https://github.com/alvesjtiago/hover-preview,""
view,mark,Inline Fold,https://github.com/predragnikolic/InlineFold,""
edit,mark,Insert Nums,https://github.com/jbrooksuk/InsertNums,""
edit,cache,Interactivity,https://github.com/ichichikin/sublime-plugin-interactivity,""
format,mark,JsPrettier,https://github.com/jonlabelle/SublimeJsPrettier,""
filterpipe,mark,Keymaps,https://github.com/MiroHibler/sublime-keymaps,""
lsp,cache,LOVELY2D,https://github.com/kevinfiol/LOVELY2D,""
lsp,cache,LSP,https://github.com/sublimelsp/LSP,""
lsp,cache,LSP-Grammarly,https://github.com/sublimelsp/LSP-Grammarly,""
lsp,cache,LSP-TexLab,https://github.com/sublimelsp/LSP-TexLab,""
lsp,cache,LSP-css,https://github.com/sublimelsp/LSP-css,""
lsp,cache,LSP-html,https://github.com/sublimelsp/LSP-html,""
lsp,cache,LSP-json,https://github.com/sublimelsp/LSP-json,""
lsp,cache,LSP-lua,https://github.com/sublimelsp/LSP-lua,""
lsp,cache,LSP-stylelint,https://github.com/sublimelsp/LSP-stylelint,""
lsp,cache,LSP-yaml,https://github.com/sublimelsp/LSP-yaml,""
window,cache,Layout,https://github.com/loggerhead/Layout,""
highlight,cache,Linefind,https://github.com/ssanj/Linefind,""
lint,cache,Linter-contrib-markdownlint,https://github.com/patrickrgaffney/SublimeLinter-contrib-staticcheck,""
ide,cache,Live Coding in Python,https://github.com/donkirkby/live-py-plugin,""
view,cache,Live Server,https://github.com/jwortmann/quick-view,""
syntax,mark,Log Highlight,https://github.com/poucotm/Log-Highlight,""
edit,cache,LoremIpsum,https://github.com/billymoon/LoremIpsum,""
syntax,mark,M3U Syntax,https://github.com/sal0max/sublime-m3u,""
syntax,mark,MDX,https://github.com/SublimeText/MDX,""
syntax,mark,MarLant,https://github.com/retifrav/marlant,""
edit,cache,Markdown Code Packer,https://github.com/motine/MarkdownCodePacker,""
syntax,cache,Markdown Extended,https://github.com/jonschlinkert/sublime-markdown-extended,""
toc,cache,Markdown TOC,https://github.com/naokazuterada/MarkdownTOC,""
syntax,mark,MarkdownEditing,https://github.com/SublimeText-Markdown/MarkdownEditing,""
edit,cache,MarkdownFootnotes,https://github.com/classicist/MarkdownFootnotes,""
view,cache,MarkdownPreview,https://github.com/facelessuser/MarkdownPreview,""
format,mark,Minify,https://github.com/tssajo/Minify,""
link,mark,OpenUri,https://github.com/jfcherng-sublime/ST-OpenUri,""
window,mark,Origami,https://github.com/SublimeText/Origami,""
lsp,cache,PYTHON TOOLS,https://github.com/ginanjarn/pythontools,""
ui,mark,PackagesUI,https://github.com/unknownuser88/PackagesUI,""
code,cache,Pieces,https://github.com/pieces-app/plugin_sublime,""
syntax,cache,Pretty Lua,https://github.com/aerobounce/Sublime-Pretty-Lua,""
shell,cache,Pretty Shell,https://github.com/aerobounce/Sublime-Pretty-Shell,""
keymap,cache,Programmatic Key Bindings,https://github.com/VonHeikemen/sublime-pro-key-bindings,""
workspace,cache,Project And Workspace Management,https://github.com/kyoobey/ProjectAndWorkspaceManagement,""
workspace,mark,ProjectManager,https://github.com/randy3k/ProjectManager,""
lsp,cache,PyRock,https://github.com/abhishek72850/pyrock,""
quarto,cache,Quarto,https://github.com/quarto-dev/quarto-sublime,""
view,cache,QuickView,https://github.com/molnarmark/sublime-live-server,""
highlight,mark,RainbowBrackets,https://github.com/absop/RainbowBrackets,""
lsp,cache,Reason,https://github.com/reasonml-editor/sublime-reason,""
filterpipe,cache,Regex Escape,https://github.com/Jonnymcc/sublime_regex_escape,""
format,cache,Rome Formatter,https://github.com/marekpiechut/sublime-rome-formatter,""
complete,cache,ST-BootstrapAutocomplete,https://github.com/jfcherng-sublime/ST-BootstrapAutocomplete,""
syntax,cache,SVG Viewer,https://github.com/YariKartoshe4ka/sublime-svg-viewer,""
scope,cache,ScopeHunter,https://github.com/facelessuser/ScopeHunter/,""
shell,cache,Send-to-Shell,https://github.com/Twizzledrizzle/Send-to-Shell,""
shell,cache,SendCode,https://github.com/randy3k/SendCode,""
