tag,mark,title,url,subscribe
bracket,cache,Auto Pairs,https://github.com/jiangmiao/auto-pairs,""
document,cache,Devdocs,https://github.com/girishji/devdocs.vim,""
jump,cache,Jumper.vim,https://github.com/homerours/jumper.vim,""
python,cache,LitREPL,https://github.com/sergei-mironov/litrepl.vim,""
cheat,cache,Nvim Cheat Sheet,https://github.com/Djancyp/cheat-sheet,""
fzf,cache,Scope,https://github.com/girishji/scope.vim,""
ime,cache,Skkeleton,https://github.com/vim-skk/skkeleton,""
replace,cache,Subversive.vim,https://github.com/svermeulen/vim-subversive,""
translate,cache,T.vim,https://github.com/sicong-li/T.vim,""
opds,cache,Telescope-opds,https://github.com/kolja/telescope-opds,""
scp,cache,Upload to Server,https://github.com/nenieiri/upload_to_server,""
synax,cache,VPolyglot,https://github.com/sheerun/vim-polyglot,""
vim,cache,Vim,https://vim.org,""
table,cache,Vim Smarter Tabs,https://github.com/Thyrum/vim-stabs,""
tmux,cache,Vim Tmux Navigator,https://github.com/christoomey/vim-tmux-navigator,""
ctag,cache,Vim tags,https://github.com/lukelbd/vim-tags,""
argument,cache,Vim-ArgWrap,https://git.foosoft.net/alex/vim-argwrap,""
list,cache,Vim-markdown-indent,https://github.com/sergei-mironov/vim-markdown-indent,""
dictionary,cache,VimDict,https://github.com/wolandark/vimdict,""
preset,cache,Wim,https://github.com/wolandark/wim,""
cheat,cache,Zeal CLI,https://github.com/Morpheus636/zeal-cli,""
cheat,cache,Zeavim,https://github.com/KabbAmine/zeavim.vim,""
cursor,cache,autocursor.vim,https://github.com/yukimemi/autocursor.vim,""
read,cache,context.vim,https://github.com/wellle/context.vim,""
diff,cache,diffview.vim,https://github.com/zeminzhou/diffview.vim,""
icon,cache,fern-renderer-nerdfont.vim,https://github.com/lambdalisue/vim-fern-renderer-nerdfont,""
fzf,cache,fzf.vim,https://github.com/junegunn/fzf.vim,""
dictionary,cache,goldendict.vim,https://github.com/jiazhoulvke/goldendict.vim,""
write,cache,goyo.vim,https://github.com/junegunn/goyo.vim,""
joplin,cache,joplin.vim,https://github.com/tenfyzhong/joplin.vim,""
docker,cache,k8s.vim,https://github.com/skanehira/k8s.vim,""
write,cache,limelight.vim,https://github.com/junegunn/limelight.vim,""
syntax,cache,lrc.vim,https://github.com/vim-scripts/lrc.vim,""
wiki,cache,mediawiki.vim,https://github.com/chikamichi/mediawiki.vim,""
terminal,cache,miniterm.vim,https://github.com/hahdookin/miniterm.vim,""
argument,cache,sideways.vim,https://github.com/AndrewRadev/sideways.vim,""
replace,cache,substitute.nvim,https://github.com/gbprod/substitute.nvim,""
status-line,cache,taghelper.vim,https://github.com/mgedmin/taghelper.vim,""
target,cache,targets.vim,https://github.com/wellle/targets.vim,""
command,cache,traces.vim,https://github.com/markonm/traces.vim,""
typst,cache,typst.vim,https://github.com/kaarmu/typst.vim,""
dictionary,cache,victionary,https://github.com/farconics/victionary,""
grammar,cache,vim-LanguageTool,https://github.com/dpelle/vim-LanguageTool,""
devdocs,cache,vim-devdocs,https://github.com/romainl/vim-devdocs,""
save,cache,vim-easysession,https://github.com/jamescherti/vim-easysession,""
epub,cache,vim-epub,https://github.com/vim-scripts/Vim-EPUB,""
git,cache,vim-gitgutter,https://github.com/airblade/vim-gitgutter,""
grammar,cache,vim-grammarous,https://github.com/rhysd/vim-grammarous,""
highlight,cache,vim-interestingwords,https://github.com/lfv89/vim-interestingwords,""
file,cache,vim-ledger,https://github.com/ledger/vim-ledger,""
toc,cache,vim-markdown-toc,https://github.com/mzlogin/vim-markdown-toc,""
wiki,cache,vim-mediawiki-editor,https://github.com/aquach/vim-mediawiki-editor,""
explorer,cache,vim-molder,https://github.com/mattn/vim-molder,""
pdf,cache,vim-office,https://github.com/Konfekt/vim-office,""
plugin,cache,vim-packix,https://github.com/halostatue/vim-packix,""
pdf,cache,vim-pdf,https://github.com/makerj/vim-pdf,""
proj,cache,vim-project,https://github.com/leafOfTree/vim-project,""
map,cache,vim-repeat,https://github.com/tpope/vim-repeat,""
tool,cache,vim-silicon,https://github.com/segeljakt/vim-silicon,""
device,cache,vim-spirv,https://github.com/kbenzie/vim-spirv,""
translate,cache,vim-translator,https://github.com/voldikss/vim-translator,""
select,cache,vim-visual-multi,https://github.com/mg979/vim-visual-multi,""
wiki,cache,vim-zim,https://github.com/jakykong/vim-zim,""
gpt,cache,vimGPT,https://github.com/ishan0102/vimGPT,""
dictionary,cache,vimdict,https://github.com/koonix/vimdict,""
music,cache,vmn,https://github.com/Dudemanguy/vmn,""
wiki,cache,wiki.vim,https://github.com/lervag/wiki.vim,""
