tag,mark,title,url,subscribe
wiki,cache,Amusewiki,https://github.com/melmothx/amusewiki,""
mdbook,cache,Aquamarine,https://github.com/mersinvald/aquamarine,""
"hugo,gallery",cache,AutoPhugo,https://github.com/kc0bfv/autophugo,""
pdf,cache,Crowbook,https://github.com/lise-henry/crowbook,""
"hugo,tool",cache,Epub Theme,https://github.com/weitblick/epub,""
"hugo,gallery",cache,Eternity,https://github.com/boratanrikulu/eternity,""
"hugo,blog",cache,FeelIt,https://github.com/khusika/FeelIt,""
webfont,cache,Fontsource,https://github.com/fontsource/fontsource,""
"hugo,gallery",cache,Galleries Deluxe,https://github.com/bep/galleriesdeluxe,""
"hugo,gallery",cache,Gallery Deluxe,https://github.com/bep/gallerydeluxe,""
page,cache,Gistdoc,https://github.com/jkulton/gistdoc,""
preview,cache,GoSee,https://github.com/jmbaur/gosee,""
hexo,cache,Hexo,https://hexo.io,""
"hexo,plugin",cache,Hexo 腾讯云CDN主动刷新插件,https://github.com/Techeek/hexo-deploy-tencentcloud-cdn,""
"hugo,hugo",cache,Hugo,https://gohugo.io,""
"hugo,blog",cache,Hugo Apéro,https://github.com/hugo-apero/hugo-apero,""
"hugo,tool",cache,Hugo Image Optimizer,https://github.com/EricDriussi/hugo-image-optimizer,""
"hugo,tool",cache,Hugo PWA Module,https://github.com/hugomods/pwa,""
hugo,cache,Hugo Theme: Console,https://github.com/mrmierzejewski/hugo-theme-console,""
"hugo,tool",mark,Hugo picture optimization,https://github.com/b-m-f/hugo-picture-optimization,""
hexo,cache,Icarus,https://github.com/ppoffice/hexo-theme-icarus,""
document,cache,Just the Docs,https://github.com/just-the-docs/just-the-docs,""
"document,api",cache,LDoc,https://github.com/lunarmodules/ldoc,""
pdf,cache,LeTextallion,https://github.com/farvardin/textallion,""
"hugo,document",cache,Lotus Docs,https://themes.gohugo.io/themes/lotusdocs/,""
mdbook,cache,MDBook EPUB Backend,https://github.com/Michael-F-Bryan/mdbook-epub,""
"mdbook,proof",cache,MDBook Link-Check,https://github.com/Michael-F-Bryan/mdbook-linkcheck,""
page,cache,Markdeep,https://casual-effects.com/markdeep,""
preview,cache,Markdown Live Preview,https://github.com/ms-jpq/markdown-live-preview,""
preview,extra,Markserv,https://github.com/markserv/markserv,""
page,cache,Minimal Theme,https://github.com/orderedlist/minimal,""
dps,cache,Netlify,https://app.netlify.com,""
document,cache,Pelican,https://getpelican.com,""
retype,cache,Retype,https://retype.com,""
retype,cache,Retype Build Action,https://github.com/retypeapp/action-build,""
"hugo,document",cache,Shadocs theme for Hugo,https://github.com/jgazeau/shadocs,""
hexo,cache,Stellar,https://github.com/xaoxuu/hexo-theme-stellar,""
wiki,cache,TiddlyWiki,https://tiddlywiki.com,""
"document,api",cache,TypeDoc,https://github.com/TypeStrong/typedoc,""
dps,cache,Vector,https://vector.dev,""
dps,cache,Vercel,https://vercel.com,""
vivliostyle,mark,Vivliostyle,https://vivliostyle.org,""
vivliostyle,cache,Vivliostyle.js Releases,https://vivliostyle.github.io,download
webfont,cache,autosubset,https://github.com/MarcelWaldvogel/autosubset,""
pdf,cache,bilingual-ebooks,https://github.com/japotrad/bilingual-ebooks,""
webfont,cache,fontmin,https://github.com/ecomfe/fontmin,""
webfont,mark,fonts(fork,https://github.com/scillidan/fonts,""
page,cache,greek_audiobooks,https://github.com/nikolas-n/greek_audiobooks,""
"hexo,tool",cache,hexo-deployer-git,https://github.com/hexojs/hexo-deployer-git,""
"hugo,document",mark,hugo-book,https://github.com/alex-shpak/hugo-book,""
"hugo,shortcode",cache,hugo-easy-gallery,https://github.com/liwenyip/hugo-easy-gallery,""
"hugo,component",cache,hugo-lightslider-example,https://github.com/jochumdev/hugo-lightslider-example,""
"hugo,shortcode",cache,hugo-pdf,https://github.com/sytranvn/hugo-pdf,""
"hugo,component",mark,hugo-shortcode-gallery,https://github.com/mfg92/hugo-shortcode-gallery,""
vivliostyle,cache,hugo-theme-vivliocli,https://github.com/mochimochiki/hugo-theme-vivliocli,""
vivliostyle,cache,kaigainotabi1,https://github.com/MurakamiShinyu/kaigainotabi1,""
proof,cache,lychee,https://github.com/lycheeverse/lychee,""
proof,cache,lychee-broken-link-checker,https://github.com/marketplace/actions/lychee-broken-link-checker,""
mdbook,cache,mdBook,https://github.com/rust-lang/mdBook,""
mdbook,cache,mdbook-admonish,https://github.com/tommilligan/mdbook-admonish,""
pdf,cache,pdfjs-viewer-element,https://github.com/alekswebnet/pdfjs-viewer-element,""
"document,api",cache,pdoc,https://pdoc3.github.io/pdoc,""
hugo,cache,recipe-book,https://github.com/rametta/recipe-book,""
slide,cache,remark,https://github.com/gnab/remark,""
"hugo,blog",cache,risotto,https://github.com/joeroe/risotto,""
"hugo,document",cache,testbook,https://github.com/maelle/testbook,""
gallery,cache,thumbsup,https://github.com/thumbsup/thumbsup,""
webfont,cache,webfont-dl,https://github.com/mmastrac/webfont-dl,""
