tag,mark,title,url,subscribe
diagram,cache,DGM.js,https://github.com/dgmjs/dgmjs,""
table,cache,Excalibur,https://github.com/camelot-dev/excalibur,""
account,cache,Frappe Books,https://github.com/frappe/books,""
recipe,cache,Instant Recipe Search,https://github.com/typesense/showcase-recipe-search,""
type,cache,Monkeytype,https://github.com/monkeytypegame/monkeytype,""
network,cache,MyIP,https://github.com/jason5ng32/MyIP,""
rclone,cache,Rclone-Webui-Angular,https://github.com/yuudi/rclone-webui-angular,""
todo,cache,Super Productivity,https://github.com/johannesjo/super-productivity,""
torrent,cache,Torrents.csv,https://github.com/emtee40/torrents-csv-server,""
network,cache,Web-Check,https://github.com/Lissy93/web-check,""
docset,cache,Zeal User Contributions & Cheat Sheets,https://github.com/xantiagoma/zealusercontributions,""
software,cache,freshermeat,https://github.com/cedricbonhomme/freshermeat,""
subtitle,cache,kitsunekko-tools,https://github.com/Ajatt-Tools/kitsunekko-tools,""
