tag,mark,title,url,subscribe
complete,cache,Actiona Zsh plugin,https://github.com/matthieusb/act,""
tmux,cache,Artimux,https://github.com/tribhuwan-kumar/Artimux,""
recent,mark,Atuin,https://github.com/ellie/atuin,""
sugges,cache,Audogombleed,https://github.com/i-love-coffee-i-love-tea/audogombleed.sh,""
env,cache,Autoenv,https://github.com/hyperupcall/autoenv,""
history,cache,Bashhub,https://github.com/rcaloras/bashhub-client,""
prompt,cache,Bigyls-zsh-theme,https://github.com/Bigyls/Bigyls-zsh-theme,""
zellij,cache,Example Plugins,https://zellij.dev/documentation/plugin-examples,""
ranger,cache,File icons for the Ranger file manager,https://github.com/alexanderjeurissen/ranger_devicons,""
"font,preview",cache,FontFor,https://github.com/7sDream/fontfor,""
database,cache,PostgreSQL Connection Plugin for Oh My Zsh,https://github.com/ruslan-korneev/pgconnect-zsh,""
command,cache,Pueue,https://github.com/Nukesor/pueue,""
recent,cache,RESH,https://github.com/curusarn/resh,""
tmux,cache,Session Sauce,https://github.com/ChrisPenner/session-sauce,""
calculator,cache,Simple zsh calculator,https://github.com/arzzen/calc.plugin.zsh,""
vim,cache,TOME Playbooks,https://github.com/laktak/tome,""
tmux,cache,Tmuxinator,https://github.com/tmuxinator/tmuxinator,""
gpt,cache,ZSH AI Commands,https://github.com/muePatrick/zsh-ai-commands,""
notify,cache,ZSH Auto-Notify,https://github.com/MichaelAquilina/zsh-auto-notify,""
cd,cache,ZSH Up dir,https://github.com/sgpthomas/zsh-up-dir,""
"web,search",cache,ZSH Web Search,https://github.com/GowayLee/zsh_web_search,""
zellij,cache,Zellij,https://github.com/zellij-org/zellij,""
network,cache,Zsh Plugin For Tailscale,https://github.com/hsrzq/PluginForTailscale,""
type,cache,Zsh Vi Mode,https://github.com/jeffreytse/zsh-vi-mode,""
ls,mark,Zsh exa,https://github.com/zplugin/zsh-exa,""
zellij,cache,Zsh plugin for Zellij,https://codeberg.org/tranzystorekk/zellij.zsh,""
jump,cache,Zsh-z,https://github.com/agkozak/zsh-z,""
backup,later,Zsnapshot,https://github.com/zdharma-continuum/zsnapshot,""
theme,later,alien-minimal,https://github.com/eendroroy/alien-minimal,""
clear,cache,almostontop,https://github.com/Valiev/almostontop,""
weather,cache,ansiweather,https://github.com/fcambus/ansiweather,""
version,cache,asdf,https://asdf-vm.com,""
start,cache,auto-fortune-cowsay-zsh,https://github.com/babasbot/auto-fortune-cowsay-zsh,""
jump,cache,autojump,https://github.com/wting/autojump,""
theme,cache,berghain.zsh-theme,https://github.com/meshkinyar/berghain.zsh-theme,""
config,cache,boxxy,https://github.com/queer/boxxy,""
cd,cache,cdh,https://github.com/johncassol/cdh,""
history,cache,cdhist,https://github.com/joknarf/cdhist,""
theme,cache,club-house,https://github.com/skippyr/club-house,""
cd,cache,commacd,https://github.com/shyiko/commacd,""
doc,cache,devdocs-offline,https://github.com/dimitry-ishenko-cpp/devdocs-offline,""
env,cache,direnv,https://direnv.net,""
cd,cache,enhancd,https://github.com/babarot/enhancd,""
ls,cache,eza,https://github.com/eza-community/eza,""
highlight,mark,fast-syntax-highlighting,https://github.com/zdharma-continuum/fast-syntax-highlighting,""
find,cache,fd,https://github.com/aubreypwd/zsh-plugin-fd,""
"font,ascii",cache,figlet-fonts,https://github.com/xero/figlet-fonts,""
"font,preview",cache,fontpreview,https://github.com/sdushantha/fontpreview,""
git,extra,forgit,https://github.com/wfxr/forgit,""
playground,cache,fwf,https://github.com/ckp95/fwf,""
"jump,tab",cache,fz,https://github.com/changyuheng/fz.sh,""
fzf,mark,fzf,https://github.com/junegunn/fzf,release
fzf,mark,fzf-tab,https://github.com/Aloxaf/fzf-tab,""
fzf,mark,fzf-tab widgets,https://github.com/tom-power/fzf-tab-widgets,""
"jump,tab",mark,fzf-z,https://github.com/andrewferrier/fzf-z,""
database,cache,historikeeper,https://github.com/stiliajohny/historikeeper,""
history,cache,history-search-multi-word,https://github.com/zdharma-continuum/history-search-multi-word,""
playground,later,jq zsh plugin,https://github.com/unixorn/awesome-zsh-plugins,""
theme,later,minimal,https://github.com/subnixr/minimal,""
command,cache,nostromo,https://github.com/pokanop/nostromo,""
prompt,cache,parot-htb-zsh-theme,https://github.com/Lloyd-Leo/parrot-htb-zsh-theme,""
"font,ascii",cache,pyfiglet,https://github.com/pwaller/pyfiglet,""
ranger,later,ranger,https://github.com/ranger/ranger,""
tmux,cache,ranger-tmux,https://github.com/joouha/ranger_tmux,""
ranger,cache,ranger-zshz,https://github.com/rc2dev/ranger-zshz,""
ranger,cache,ranger.plugin.zsh,https://github.com/NiziL/ranger.plugin.zsh,""
history,cache,redo,https://github.com/joknarf/redo,""
prompt,cache,selector,https://github.com/joknarf/selector,""
gpt,cache,shellChatGPT,https://github.com/mountaineerbr/shellChatGPT,""
skim,cache,skim,https://github.com/lotabout/skim,""
ssh,cache,thefly,https://github.com/joknarf/thefly,""
tmux,cache,tmux,https://github.com/tmux/tmux,""
git,extra,ugit,https://github.com/Bhupesh-V/ugit,""
